,license_plate,kreis_key,income_pp_2000,income_pp_2001,income_pp_2002,income_pp_2003,income_pp_2004,income_pp_2005,income_pp_2006,income_pp_2007,income_pp_2008,income_pp_2009,income_pp_2010,income_pp_2011,income_pp_2012,income_pp_2013,income_pp_2014,income_pp_2015,income_pp_2016,income_pp_2017,income_pp_2018,income_2000,income_2001,income_2002,income_2003,income_2004,income_2005,income_2006,income_2007,income_2008,income_2009,income_2010,income_2011,income_2012,income_2013,income_2014,income_2015,income_2016,income_2017,income_2018,crimes_2013,crimes_2014,crimes_2015,crimes_2016,crimes_2017,crimes_2018,crimes_2019,crimes_2020,population_1995,population_1996,population_1997,population_1998,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,kreis_name
10,WAT,5911,15100,15784,15791,16092,16332,16412,16575,16692,17168,16880,17292,17784,17962,17997,18366,18784,18936,19415,20048,5831821,6065332,6040836,6124322,6200971,6209041,6224862,6225497,6349392,6189422,6297132,6452817,6509484,6514363,6645050,6824397,6908263,7090845,7319098,38342.0,36920.0,38044.0,35357.0,32207.0,32020.0,29764.0,27669.0,400762,399432,397152,394537,393033,391979,390476,389260,387959,388401,386671,384650,382333,379907,377205,375302,362835,362399,361974,361805,363309,364831,365225,365079,365108,"      Bochum, kreisfreie Stadt"
11,BN,5314,17634,17843,17907,18525,19265,19543,19793,20110,20791,20301,20937,21368,21103,21414,21733,22032,22459,22908,23471,5140541,5228015,5288479,5499416,5729587,5810740,5889770,6001050,6221733,6089888,6332379,6538674,6514363,6650581,6794135,6970614,7197431,7417691,7660295,34649.0,35781.0,36022.0,35067.0,30762.0,27996.0,26475.0,27687.0,292252,297152,303858,304741,302844,300971,304106,307518,309899,311291,312384,313291,315118,317087,318796,321126,306003,308700,310578,312623,316384,320467,323808,326374,328466,"      Bonn, kreisfreie Stadt"
12,BOT,5512,14343,14963,15004,15233,15509,15612,15812,15944,16532,16426,16959,17488,17794,18179,18355,18786,19008,19548,20250,1738357,1811702,1818296,1843129,1870430,1875775,1892971,1903187,1963860,1940710,1995963,2050896,2078081,2113848,2129894,2190113,2229232,2294674,2376802,8942.0,9171.0,8836.0,8290.0,8404.0,6901.0,6642.0,6571.0,120156,120847,121308,121435,121201,120898,120711,120733,120577,120100,119669,119195,118813,118203,117407,117106,117274,116786,116277,116036,116580,117276,117387,117374,117474,"      Bottrop, kreisfreie Stadt"
13,BRB,12051,12644,13074,13369,13488,13655,13764,14089,14324,14704,15130,15101,15664,15838,16254,16531,16978,17325,17967,18473,999357,1016356,1024218,1021358,1025117,1023823,1038037,1046826,1067452,1093029,1085274,1120005,1128730,1155522,1174257,1210617,1240829,1289553,1330136,7969.0,7617.0,8763.0,8752.0,6696.0,6575.0,7688.0,7141.0,87713,85979,84380,82384,80586,79185,77808,76712,75788,75212,74583,73886,73289,72753,72319,72032,71502,71265,71091,71032,71303,71619,71775,72005,72154,"      Brandenburg an der Havel, kreisfreie Stadt"
14,BS,3101,15979,16494,16727,17127,17238,17547,17872,18051,18351,18426,18617,19252,19739,19991,20329,20934,21303,21932,22612,3880361,3992655,4038973,4125549,4150576,4221275,4290817,4333794,4405990,4433517,4501096,4680227,4832483,4928002,5038776,5232114,5326045,5446725,5611318,23692.0,25074.0,25497.0,23902.0,22904.0,21355.0,19663.0,18952.0,253337,251933,250132,248093,246782,246069,245721,245561,245394,245702,245897,245190,245349,245712,246511,247909,243103,244814,246513,247865,249933,250016,248345,248158,248849,"      Braunschweig, kreisfreie Stadt"
15,HB,4011,16317,17132,16937,17129,16761,17862,18268,18796,19985,19244,18758,19129,19897,20009,20185,20365,20701,21239,22116,8764359,9202297,9123073,9254885,9075841,9685053,9918439,10208431,10842650,10434184,10164971,10365085,10848974,10954688,11105059,11294792,11625292,12039424,12576863,71212.0,70781.0,76978.0,78465.0,68343.0,62101.0,65869.0,66971.0,549157,549045,548100,545179,541978,539617,540232,541955,543890,545143,546223,547859,547632,547255,546835,546837,543500,545247,547499,550157,554616,561592,566863,568679,568456,"      Bremen, kreisfreie Stadt"
16,HB,4012,14607,15486,14574,15076,14813,15611,15318,15735,15378,14947,16746,16959,16654,16911,17278,17062,17212,18071,18296,1754713,1826482,1703891,1756759,1709999,1786598,1741025,1775505,1720737,1660171,1847487,1864768,1802460,1836244,1891597,1912156,1954065,2042591,2073517,14154.0,12819.0,14091.0,13259.0,12647.0,12206.0,12020.0,13306.0,130720,129739,127969,125745,123775,121836,120096,118172,118812,117688,116944,116416,115708,114778,114110,113600,108325,108231,108584,109483,112073,113530,113030,113330,113639,"      Bremerhaven, kreisfreie Stadt"
17,C,14511,13831,14337,14822,15207,15440,15513,15974,16303,16693,17080,17389,17691,18111,18340,18607,18626,19087,19765,20366,3594540,3670917,3743721,3794271,3817393,3807601,3897416,3962361,4039859,4115188,4182044,4255109,4362579,4431235,4517297,4583486,4723997,4874054,5031323,24675.0,25560.0,27791.0,27236.0,25452.0,23744.0,22026.0,21347.0,291333,284982,278411,271696,265744,261235,257522,254209,251271,249144,247476,246144,245326,244280,243262,242943,240527,240877,241616,242772,246083,247499,246604,247046,246785,"      Chemnitz, Stadt"
18,CO,9463,17458,17991,18139,18896,19463,19864,20376,20808,21285,20853,21515,22393,23301,22782,22628,23528,23398,23882,24754,751551,770275,775509,802825,821661,835597,852713,863904,880341,861428,886249,919626,955521,934232,928384,968426,963138,982845,1020939,3381.0,3746.0,3435.0,3571.0,2990.0,2840.0,3019.0,2762.0,44041,44014,43791,43542,43325,43041,42751,42746,42475,42204,42013,41768,41447,41317,41200,41162,41067,41007,41008,41028,41160,41164,41154,41243,41161,      Coburg
19,NEC,9463,17458,17991,18139,18896,19463,19864,20376,20808,21285,20853,21515,22393,23301,22782,22628,23528,23398,23882,24754,751551,770275,775509,802825,821661,835597,852713,863904,880341,861428,886249,919626,955521,934232,928384,968426,963138,982845,1020939,3381.0,3746.0,3435.0,3571.0,2990.0,2840.0,3019.0,2762.0,44041,44014,43791,43542,43325,43041,42751,42746,42475,42204,42013,41768,41447,41317,41200,41162,41067,41007,41008,41028,41160,41164,41154,41243,41161,      Coburg
20,CB,12052,13034,13575,13952,14248,14428,14563,14874,15111,15558,16039,16167,16557,16762,17224,17801,17780,17921,18486,19172,1483569,1510879,1520244,1525586,1523767,1520375,1532378,1536543,1564685,1602404,1616268,1656650,1675267,1718190,1771925,1770649,1793062,1862060,1929195,10169.0,11717.0,10741.0,11282.0,9439.0,9026.0,9252.0,8724.0,127791,125658,123777,121452,117537,114864,112447,110094,108417,107013,105931,104621,103128,102095,101538,101834,100058,99944,99754,99543,99589,100052,100726,100628,99949,"      Cottbus, kreisfreie Stadt"
21,DA,6411,17147,17555,18051,18327,18461,18943,20379,21517,21044,20794,20775,20103,20585,20917,21565,22016,21903,22479,23290,2339936,2398840,2470167,2516505,2542166,2613518,2820556,2992241,2934331,2908143,2923909,2885295,3023697,3113111,3252234,3381965,3425490,3548210,3696836,11218.0,11008.0,11827.0,11681.0,12121.0,11200.0,10445.0,9600.0,138973,138708,138219,137694,137644,138028,138243,138726,139237,139561,140265,140366,141635,142255,142785,143508,143523,146885,148834,150811,153616,156395,157846,158731,159543,"      Darmstadt, kreisfreie Stadt"
22,DEL,3401,14962,15328,15499,15792,15709,16029,16289,16385,16724,16874,17089,17391,17602,17757,18062,18422,18586,18973,19411,1140500,1162612,1170255,1189043,1181962,1204636,1217103,1217112,1236777,1241894,1253557,1274923,1293357,1310857,1344306,1392042,1425251,1466284,1505572,7855.0,6528.0,6609.0,6641.0,6141.0,6038.0,5352.0,5084.0,78063,78232,78099,77663,77136,76755,76685,76006,75961,75985,76003,75609,75253,74958,74579,74521,73311,73476,73820,74428,75564,76684,77283,77564,77583,"      Delmenhorst, kreisfreie Stadt"
23,DE,15001,12721,13288,13696,13950,14026,14393,14854,14803,15297,15825,16084,16649,17139,17371,17745,18260,18788,19493,20043,1282184,1310239,1321843,1325031,1314354,1332114,1358492,1335797,1360513,1390009,1398073,1431604,1457592,1461052,1478839,1515358,1553996,1604438,1637007,9661.0,10334.0,10036.0,9401.0,8870.0,7985.0,8264.0,7539.0,.,.,.,.,.,.,.,.,.,.,.,.,90557,89318,88187,87316,85987,85047,84111,83339,82990,82712,82308,81674,80670,"      Dessau-Roßlau, kreisfreie Stadt"
24,RSL,15001,12721,13288,13696,13950,14026,14393,14854,14803,15297,15825,16084,16649,17139,17371,17745,18260,18788,19493,20043,1282184,1310239,1321843,1325031,1314354,1332114,1358492,1335797,1360513,1390009,1398073,1431604,1457592,1461052,1478839,1515358,1553996,1604438,1637007,9661.0,10334.0,10036.0,9401.0,8870.0,7985.0,8264.0,7539.0,.,.,.,.,.,.,.,.,.,.,.,.,90557,89318,88187,87316,85987,85047,84111,83339,82990,82712,82308,81674,80670,"      Dessau-Roßlau, kreisfreie Stadt"
25,DO,5913,14435,14887,14891,15185,15486,15557,15715,15836,16373,16145,16549,16933,17300,17285,17702,17994,18271,18707,19318,8444492,8694985,8704260,8872466,9025243,9048182,9125130,9178283,9456332,9271806,9463390,9673823,9891020,9921915,10235549,10496934,10706580,10966332,11335983,80540.0,86549.0,83586.0,76259.0,67291.0,66327.0,61727.0,61769.0,599880,597932,595946,593300,590974,589249,589367,590908,590251,588716,588070,587870,587195,585867,582273,580625,571299,571745,574016,578228,583346,585997,586207,586805,587630,"      Dortmund, kreisfreie Stadt"
26,DD,14612,14121,14528,15071,15471,15816,15788,16072,16344,16646,16831,17080,17315,17663,17909,18016,18535,19052,19541,20112,6658414,6855359,7120678,7339271,7550684,7619847,7887717,8113178,8315594,8478837,8687161,8909607,9209982,9454650,9612182,10009991,10392889,10730491,11119077,59676.0,61295.0,56555.0,58660.0,78410.0,49152.0,46376.0,48929.0,496866,492509,486566,480925,477490,477238,478220,479430,481930,485527,491302,499989,506155,508970,513248,518982,514559,521435,527930,533531,540067,545499,549122,552861,555715,"      Dresden, Stadt"
27,DU,5112,13287,13695,13833,14084,14299,14228,14235,14297,14754,14666,15039,15422,15651,15723,15986,16192,16292,16590,17126,6872142,7029545,7057135,7145790,7224098,7152770,7118629,7114209,7304209,7225927,7375739,7531482,7624331,7654288,7771966,7907385,8073073,8278171,8534844,52048.0,50482.0,55604.0,54023.0,49739.0,44070.0,42166.0,43091.0,535679,533976,530882,526187,521553,517270,513434,510369,507733,505513,502799,500217,497761,495136,492765,490558,488351,487143,486836,486160,488348,495538,498978,498350,498638,"      Duisburg, kreisfreie Stadt"
28,D,5111,19463,19912,19866,20348,20819,21137,21458,21514,22181,21363,22006,22588,22854,23416,23276,23998,24728,25360,26087,11049864,11321182,11317168,11607188,11881095,12080939,12313471,12414098,12870489,12447506,12869011,13277250,13522140,13959967,14002783,14599306,15150994,15603062,16129059,87610.0,86071.0,84260.0,77929.0,69239.0,62734.0,64525.0,62180.0,571835,571253,571223,569705,568648,569086,570376,571473,572230,571988,573723,576090,579075,582664,584751,587159,587812,591666,596184,601607,608353,612704,615255,618287,620586,"      Düsseldorf, kreisfreie Stadt"
29,EMD,3402,13886,14447,14530,15031,15128,15267,15375,15435,15881,16191,16452,16769,17005,17204,17532,17732,17978,18451,19003,697437,724282,729798,755478,761445,769066,773904,776054,795931,806915,819188,836498,846847,856262,874879,892872,909530,932663,957784,4629.0,4321.0,4598.0,4540.0,4235.0,4122.0,3558.0,3818.0,51682,51515,51509,51497,51311,50985,51021,51250,51319,51491,51714,51666,51692,51686,51363,51395,49884,49800,49771,49903,50355,50590,50547,50401,50054,"      Emden, kreisfreie Stadt"
30,EF,16051,13503,14005,14247,14461,14691,14693,15154,15406,15805,16000,16269,16637,16955,17300,17526,18056,18498,18991,19333,2685133,2773686,2814040,2864160,2924726,2930890,3021341,3068869,3150222,3192780,3256484,3348892,3437159,3532355,3602424,3758627,3895745,4026955,4124431,21569.0,21203.0,21005.0,23885.0,22659.0,24074.0,20695.0,23346.0,212532,209889,206844,204323,202165,200849,200356,199953,200552,202012,202636,202723,202592,202880,203248,204239,201295,202719,204183,205550,208169,210616,212051,213344,213840,"      Erfurt, kreisfreie Stadt"
31,ER,9562,18495,19500,19338,19431,19697,19916,20049,20296,21002,20798,21954,22785,23108,23168,23041,24083,23719,24028,24712,1844148,1953675,1949136,1961830,1990456,2018183,2041562,2079536,2162751,2149134,2273645,2368048,2423111,2444661,2442850,2586081,2592165,2657954,2754869,6969.0,6662.0,6420.0,6212.0,5829.0,5815.0,6149.0,5398.0,101429,101125,100586,100553,100763,100730,101325,102020,102378,102492,102994,103469,104171,104848,105265,105437,103932,104862,105518,106024,107380,109287,110618,111480,112245,      Erlangen
32,E,5113,16358,16679,16770,17031,17171,17272,17455,17546,18120,17695,18179,18696,18524,18756,18971,18988,19481,19981,20626,9711873,9833027,9798612,9924792,10022677,10040521,10098272,10116296,10409753,10107230,10330560,10593006,10491474,10660193,10848321,10978833,11354301,11653544,12029994,57317.0,62283.0,66407.0,61450.0,55779.0,50065.0,47666.0,43545.0,616409,613345,610280,605964,601355,596842,593892,588745,585882,588484,586685,584136,582759,580827,578025,575149,566582,566381,568373,571834,578204,582854,583239,583251,582935,"      Essen, kreisfreie Stadt"
33,FL,1001,14763,15144,15177,15499,15453,16215,16827,17521,17409,17344,17256,17551,17964,17987,18007,18255,18128,18498,18773,1192267,1218905,1220412,1248229,1248307,1311675,1363869,1430341,1434540,1430461,1418785,1448058,1493399,1505825,1518602,1557509,1571451,1627397,1671015,8876.0,9754.0,10828.0,9993.0,8907.0,8156.0,8617.0,8380.0,87608,86952,86089,85145,84604,84414,84419,84586,85035,85510,85956,86365,87036,88182,88451,88535,82504,83132,83717,84333,85318,86687,87976,89012,89834,"      Flensburg, kreisfreie Stadt"
34,FT,7311,15395,15931,15946,16307,16825,16870,17174,17372,17703,18140,18458,19137,19932,20048,19943,20949,20458,21097,21859,735845,758079,757984,772706,795415,794424,803456,811217,826460,844584,857642,890186,933330,945943,947870,1006469,990255,1021765,1059901,4268.0,3996.0,4238.0,4314.0,4090.0,3800.0,3463.0,3366.0,47991,48490,48696,48639,48354,47931,47842,47790,47636,47551,47397,47093,47023,47076,46892,46864,46516,46826,47184,47528,48044,48405,48431,48489,48662,"      Frankenthal (Pfalz), kreisfreie Stadt"
35,FF,12053,12239,12617,12962,13127,13363,13617,14030,14297,14629,14957,14983,15564,15567,15849,16185,16638,16979,17657,18263,887491,892099,891374,880466,874919,868713,875838,879218,889446,898674,892450,921837,915346,923635,936036,962874,987237,1027888,1060257,8195.0,6112.0,6080.0,6454.0,5872.0,5430.0,5611.0,5494.0,81633,80416,79019,76933,74939,73058,71290,69387,67703,66175,64469,63177,62244,61640,60907,60436,59230,58800,58278,57834,57871,58143,58215,58055,57812,"      Frankfurt (Oder), kreisfreie Stadt"
36,F,6412,16859,17847,17971,17965,18735,18877,19688,19922,20067,19706,19984,20519,20847,20785,21237,21696,22322,22702,23436,10757509,11349997,11390669,11395359,11898428,12054481,12614605,12820969,13022772,12901736,13217927,13762959,14220690,14436210,15067588,15732995,16396994,16836965,17576261,112049.0,118796.0,118766.0,114819.0,109458.0,117719.0,114421.0,102897.0,651097,648558,645535,643663,643839,645413,643550,642681,643442,645263,648947,648925,655338,663287,668283,676530,670732,682154,694563,709487,725156,734551,741646,749967,758218,"      Frankfurt am Main, kreisfreie Stadt"
37,FR,8311,15711,16652,16382,16918,17220,17581,18016,18078,18658,18395,18939,19499,19630,19753,20302,20703,21176,21581,22135,3081162,3302188,3278754,3409737,3491099,3582952,3691365,3723271,3849439,3805403,3947548,4128478,4242741,4329087,4491797,4643536,4806780,4933715,5089788,26462.0,27297.0,29545.0,28854.0,27850.0,25551.0,23147.0,21122.0,198885,199833,200457,200750,201718,203779,206156,209039,211224,212977,214698,216448,218061,219314,220213,222576,211729,216139,219165,221245,224298,226992,228613,229939,230718,"      Freiburg im Breisgau, Stadtkreis"
38,FÜ,9563,18320,19691,19692,20500,21122,21087,21100,21090,21464,21034,21515,22205,22523,22934,22262,23084,22737,22968,23795,2020654,2186865,2200153,2297265,2374927,2387503,2401123,2407738,2455578,2405872,2467142,2571500,2646482,2731067,2686181,2835752,2837267,2893136,3025274,6691.0,6309.0,6035.0,5985.0,5853.0,5426.0,5447.0,5361.0,108109,108340,108891,109322,109448,109985,110833,111457,111929,112018,113542,113596,113946,114287,114093,114352,115806,117499,119083,120664,122845,124787,125965,127137,128123,      Fürth
39,GE,5513,13281,13663,13694,13881,14058,14036,14079,14111,14496,14290,14561,14930,15092,15191,15231,15336,15585,15888,16450,3732282,3804874,3788733,3811572,3827140,3791737,3780695,3766633,3836319,3746765,3789088,3862241,3890829,3915248,3925824,3972051,4074729,4153511,4285018,25331.0,25950.0,26428.0,24434.0,23387.0,22234.0,21937.0,21494.0,292354,290094,287728,285259,283032,280472,277667,275864,273781,271307,269144,267418,265938,263587,260889,258767,258689,257801,257729,257751,259010,261448,261417,260480,260150,"      Gelsenkirchen, kreisfreie Stadt"
40,G,16052,13035,13711,14032,14357,14710,14832,15349,15664,15928,16108,16332,16625,16931,17258,17474,17952,18321,19049,19558,1464594,1505505,1505220,1512385,1525848,1518452,1550573,1561902,1569166,1571243,1579405,1596092,1617967,1642613,1655445,1709987,1747501,1805900,1848356,9729.0,10128.0,9826.0,10332.0,10260.0,10917.0,9455.0,10115.0,124971,122440,120094,117665,115706,113920,111543,108961,107328,105830,104655,103446,102202,101159,100311,99623,96008,95565,95181,94735,95252,95381,94805,94506,93639,"      Gera, kreisfreie Stadt"
41,HA,5914,15628,16081,16165,16562,16819,16878,17073,17158,17645,17313,17657,18213,18151,18144,18502,18616,18862,19441,20024,3189258,3256098,3256509,3319532,3351296,3336730,3348602,3337792,3401417,3305915,3339113,3420852,3390307,3376930,3447958,3497558,3558335,3654856,3769975,16346.0,16148.0,17126.0,16427.0,15713.0,14134.0,13984.0,14014.0,212875,211477,209989,208114,206201,204246,202627,201623,200644,199397,197890,196295,194785,193043,191184,189399,187822,186788,186120,186356,187880,188655,187998,188272,188750,"      Hagen, kreisfreie Stadt"
42,HAL,15002,12625,13075,13455,13488,13269,13584,13995,14218,14657,15178,15360,15566,15803,16016,16324,16820,17099,17570,17828,3150088,3186153,3220132,3205978,3146009,3198889,3274131,3303554,3383329,3486348,3525484,3582362,3650058,3707779,3787446,3948193,4060930,4191924,4264843,26227.0,27621.0,32885.0,31462.0,30399.0,28925.0,27408.0,29089.0,287052,280025,273145,264889,258136,251178,245501,241118,238830,239718,237985,236576,234889,233462,232208,232231,230136,230967,231503,232018,234731,237498,238589,239215,239010,"      Halle (Saale), kreisfreie Stadt"
43,HH,2000,17969,19035,18812,20264,20004,21138,21496,21441,21444,20813,21421,22094,22312,22783,22577,23178,23853,24245,25029,30053866,31965143,31640970,34078943,33618933,35535492,36257088,36369680,36479654,35357046,36452120,37823093,38515903,39649768,39612424,41143363,42909831,44137642,45949850,238019.0,239541.0,243313.0,238464.0,224292.0,216569.0,206790.0,199280.0,1707251,1708410,1707356,1701810,1702451,1710270,1720965,1727445,1732649,1736201,1739455,1748544,1761711,1771532,1778107,1780065,1711944,1726230,1740307,1754567,1775100,1798923,1820511,1835882,1844216,  Hamburg
44,HAM,5915,13666,14015,14000,14159,14380,14503,14701,14895,15429,15363,15831,16159,16400,16507,16922,17068,17332,17822,18453,2450008,2522669,2531081,2564069,2602832,2615939,2638511,2660606,2742325,2716222,2789120,2848338,2893965,2909229,2983660,3037909,3110878,3196899,3305790,14766.0,15152.0,15204.0,15441.0,14866.0,13355.0,13591.0,15553.0,183715,182811,181704,180957,181262,182061,183098,184454,184839,184921,184542,183971,183378,182678,182063,181664,176270,176457,176244,176314,177989,179484,179378,179148,179514,"      Hamm, kreisfreie Stadt"
45,HD,8221,18431,19424,18795,19182,19365,20191,21089,21510,21757,20867,21238,22369,23191,23673,22276,22232,22630,23019,23703,2568474,2723524,2656055,2723454,2753766,2870460,3012909,3096749,3142062,3024531,3094766,3294219,3464106,3579995,3417524,3456907,3577657,3688955,3803769,14057.0,13085.0,15194.0,16128.0,16346.0,16656.0,14619.0,13637.0,138873,138826,139405,139614,139479,139966,140602,141793,142574,142798,142840,143897,144643,145047,145683,146323,147266,149375,151224,153414,155491,158091,160258,160478,160920,"      Heidelberg, Stadtkreis"
46,HN,8121,17679,18519,19279,21137,22787,24921,27901,30331,33016,33755,37055,36576,34785,33310,30839,29573,35790,35587,36883,2043553,2139737,2233839,2447453,2637927,2887883,3224798,3495637,3805404,3892083,4274209,4245141,4074156,3924871,3669236,3584310,4408222,4428553,4630170,9152.0,8990.0,9102.0,9258.0,8439.0,8720.0,8702.0,8151.0,121882,121533,121272,120500,119770,119416,119805,120387,120717,121005,121436,121498,121334,121949,122159,122608,116062,117124,117827,118982,121204,123169,124442,125537,126276,"      Heilbronn, Universitätsstadt, Stadtkreis"
47,HER,5916,13753,14390,14467,14692,14905,14887,14998,15166,15695,15559,15951,16332,16455,16371,16557,16829,16953,17327,17889,2344554,2434786,2434840,2457724,2473132,2449624,2447623,2449374,2503640,2453038,2490195,2534287,2545990,2529115,2558215,2612435,2649906,2714040,2798401,15483.0,14175.0,15579.0,14238.0,13197.0,13576.0,13000.0,12828.0,179963,179308,178291,177286,176185,175098,174262,173798,173239,172376,171312,170461,169283,167702,166207,165165,155171,154725,154490,154513,155230,156313,156632,156432,156412,"      Herne, kreisfreie Stadt"
