,kreis_key,license_plate
0,09361,AM
1,09561,AN
2,09661,AB
3,09761,A
4,08211,BAD
5,09461,BA
6,09462,BT
7,11000,B
8,05711,BI
9,05911,BO
10,05911,WAT
11,05314,BN
12,05512,BOT
13,12051,BRB
14,03101,BS
15,04011,HB
16,04012,HB
17,14511,C
18,09463,CO
19,09463,NEC
20,12052,CB
21,06411,DA
22,03401,DEL
23,15001,DE
24,15001,RSL
25,05913,DO
26,14612,DD
27,05112,DU
28,05111,D
29,03402,EMD
30,16051,EF
31,09562,ER
32,05113,E
33,01001,FL
34,07311,FT
35,12053,FF
36,06412,F
37,08311,FR
38,09563,FÜ
39,05513,GE
40,16052,G
41,05914,HA
42,15002,HAL
43,02000,HH
44,05915,HAM
45,08221,HD
46,08121,HN
47,05916,HER
48,05916,WAN
49,09464,HO
50,09161,IN
51,16053,J
52,07312,KL
53,08212,KA
54,06611,KS
55,09762,KF
56,09763,KE
57,01002,KI
58,07111,KO
59,05315,K
60,05114,KR
61,07313,LD
62,09261,LA
63,14713,L
64,05316,LEV
65,05316,OP
66,01003,HL
67,07314,LU
68,15003,MD
69,07315,MZ
70,08222,MA
71,09764,MM
72,05116,MG
73,05117,MH
74,09162,M
75,05515,MS
76,01004,NMS
77,07316,NW
78,09564,N
79,05119,OB
80,06413,OF
81,03403,OL
82,03404,OS
83,09262,PA
84,08231,PF
85,07317,PS
86,12054,P
87,09362,R
88,05120,RS
89,09163,RO
90,13003,HRO
91,03102,SZ
92,09565,SC
93,09662,SW
94,13004,SN
95,05122,SG
96,07318,SP
97,09263,SR
98,08111,S
99,16054,SHL
100,07211,TR
101,08421,UL
102,09363,WEN
103,16055,WE
104,06414,WI
105,03405,WHV
106,03103,WOB
107,07319,WO
108,05124,W
109,09663,WÜ
110,07320,ZW
111,05334,AC
112,05334,MON
113,07131,AW
114,09771,AIC
115,09771,FDB
116,08425,UL
117,16077,ABG
118,16077,SLN
119,07132,AK
120,15081,SAW
121,15081,GA
122,15081,KLZ
123,09171,AÖ
124,09171,LF
125,07331,AZ
126,09371,AS
127,09371,BUL
128,09371,ESB
129,09371,NAB
130,09371,SUL
131,03451,WST
132,15082,ABI
133,15082,AZE
134,15082,BTF
135,15082,KÖT
136,15082,ZE
137,09571,AN
138,09571,DKB
139,09571,FEU
140,09571,ROT
141,09671,AB
142,09671,ALZ
143,09772,A
144,09772,SMÜ
145,09772,WER
146,03452,AUR
147,03452,NOR
148,07332,DÜW
149,09672,KG
150,09672,BRK
151,09672,HAB
152,07133,KH
153,09173,TÖL
154,09173,WOR
155,09471,BA
156,12060,BAR
157,12060,BER
158,12060,EW
159,14625,BZ
160,14625,BIW
161,14625,HY
162,14625,KM
163,09472,BT
164,09472,EBS
165,09472,ESB
166,09472,KEM
167,09472,MÜB
168,09472,PEG
169,09172,BGL
170,09172,BGD
171,09172,LF
172,09172,REI
173,06431,HP
174,07231,WIL
175,07231,BKS
176,08426,BC
177,07134,BIR
178,08115,BB
179,08115,LEO
180,08435,FN
181,08435,TT
182,08435,ÜB
183,15083,BK
184,15083,BÖ
185,15083,HDL
186,15083,OC
187,15083,OK
188,15083,WMS
189,15083,WZL
190,05554,BOR
191,05554,AH
192,05554,BOH
193,08315,FR
194,15084,BLK
195,15084,HHM
196,15084,NEB
197,15084,NMB
198,15084,WSF
199,15084,ZZ
200,08235,CW
201,03351,CE
202,09372,CHA
203,09372,KÖZ
204,09372,ROD
205,09372,WÜM
206,03453,CLP
207,09473,CO
208,09473,NEC
209,07135,COC
210,07135,ZEL
211,05558,COE
212,05558,LH
213,03352,CUX
214,09174,DAH
215,12061,LDS
216,12061,KW
217,12061,LC
218,12061,LN
219,06432,DA
220,06432,DI
221,09271,DEG
222,03251,DH
223,03251,SY
224,09773,DLG
225,09773,WER
226,09279,DGF
227,09279,LAN
228,01051,HEI
229,01051,MED
230,09779,DON
231,09779,NÖ
232,07333,KIB
233,07333,ROK
234,05358,DN
235,05358,JÜL
236,05358,MON
237,05358,SLE
238,09175,EBE
239,16061,EIC
240,16061,HIG
241,16061,WBS
242,09176,EI
243,07232,BIT
244,07232,PRÜ
245,12062,EE
246,12062,FI
247,12062,LIB
248,08316,EM
249,03454,EL
250,05954,EN
251,05954,WIT
252,08236,PF
253,09177,ED
254,09572,ERH
255,09572,HÖS
256,14521,ERZ
257,14521,ANA
258,14521,ASZ
259,14521,AU
260,14521,MAB
261,14521,MEK
262,14521,STL
263,14521,SZB
264,14521,ZP
265,08116,ES
266,08116,NT
267,05366,EU
268,05366,SLE
269,09474,FO
270,09474,EBS
271,09474,PEG
272,09178,FS
273,08237,FDS
274,08237,HCH
275,08237,HOR
276,08237,WOL
277,09272,FRG
278,09272,GRA
279,09272,WOS
280,03455,FRI
281,06631,FD
282,09179,FFB
283,09573,FÜ
284,09180,GAP
285,07334,GER
286,06531,GI
287,03151,GF
288,08117,GP
289,14626,GR
290,14626,LÖB
291,14626,NOL
292,14626,NY
293,14626,WSW
294,14626,ZI
295,03153,GS
296,03153,BRL
297,03153,CLZ
