,kreis_key,income_pp_2000,income_pp_2001,income_pp_2002,income_pp_2003,income_pp_2004,income_pp_2005,income_pp_2006,income_pp_2007,income_pp_2008,income_pp_2009,income_pp_2010,income_pp_2011,income_pp_2012,income_pp_2013,income_pp_2014,income_pp_2015,income_pp_2016,income_pp_2017,income_pp_2018
1,01001,14763,15144,15177,15499,15453,16215,16827,17521,17409,17344,17256,17551,17964,17987,18007,18255,18128,18498,18773
2,01002,14348,14833,14909,15295,15354,15770,15940,16322,16563,16675,16771,17055,17416,17906,17677,18119,18469,18943,19392
3,01003,14467,14977,15191,15890,16157,16538,16697,16921,17042,17047,17024,17351,17823,17936,18182,19008,19122,19658,20120
4,01004,14766,15487,15216,15324,15032,15438,15697,16022,16142,16198,16146,16495,17037,17403,17956,18121,18795,19275,19775
5,01051,14038,14651,14687,15283,15777,16071,16290,16738,17251,17282,17617,18353,18944,19475,20090,20900,21401,22055,22498
6,01053,16819,17440,17315,17718,17897,18361,18529,18899,19363,19684,19928,20616,21302,21204,21539,22075,22628,23102,23652
7,01054,14560,15159,15065,15700,15988,16685,17319,18007,18756,18930,19325,20189,20723,21597,22613,23360,23930,24470,25129
8,01055,15328,15888,15963,16754,17109,17414,17493,17745,18188,18442,18756,19447,20103,20281,20855,21267,21883,22519,23179
9,01056,18138,18836,18628,19189,19193,19605,19697,19963,20466,20797,21119,21765,22395,22525,22607,23177,23684,24150,24708
10,01057,15255,15960,16035,16573,16825,17061,17138,17370,17890,18189,18626,19392,20117,20455,20878,21292,22110,22813,23369
11,01058,15520,16232,16177,16666,16854,17302,17547,17936,18403,18569,18937,19734,20487,20869,21526,22019,22309,22839,23410
12,01059,14413,14944,14968,15620,15983,16471,16903,17430,17731,17692,17854,18606,19251,19728,20179,21174,21578,22087,22510
13,01060,16853,17429,17200,17551,17571,18018,18173,18713,18965,19271,19440,20070,20705,21066,21508,21976,22434,22840,23323
14,01061,14786,15324,15305,15821,16086,16475,16721,17145,17651,17722,18091,18778,19462,19545,19808,20076,20833,21517,21991
15,01062,19098,19852,19824,20574,20730,21171,21240,21405,21590,21767,21857,22552,23238,23037,23303,23847,24423,25011,25737
16,02000,17969,19035,18812,20264,20004,21138,21496,21441,21444,20813,21421,22094,22312,22783,22577,23178,23853,24245,25029
19,03101,15979,16494,16727,17127,17238,17547,17872,18051,18351,18426,18617,19252,19739,19991,20329,20934,21303,21932,22612
20,03102,14789,15255,15328,15536,15631,15897,16111,16417,16889,17118,17515,18072,18560,18759,19129,19460,19405,19568,20016
21,03103,16418,17026,17450,17850,18160,18369,18480,18619,19036,19458,19980,21117,22055,22561,23051,23613,23461,24015,24712
22,03151,15095,15761,15751,16093,16237,16467,16797,17086,17629,18029,18659,19923,20925,21434,21979,22453,22640,23182,23879
23,03152,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-
24,03153,14861,15291,15440,15900,16072,16313,16599,16746,17147,17315,17609,18124,18554,18753,19085,19553,19999,20610,21306
25,03154,15614,16257,16297,16619,16735,16918,17143,17213,17869,18241,18808,19644,20398,20931,21560,22000,22231,22745,23466
26,03155,14803,15383,15385,15772,15792,16120,16530,16807,17282,17416,17798,18480,19061,19389,19916,20429,20938,21636,22303
27,03156,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-
28,03157,15288,15851,15864,16122,16229,16408,16683,16873,17358,17633,18056,18837,19481,19726,20221,20578,21114,21624,22202
29,03158,15211,15679,15580,15840,15915,16225,16585,16852,17392,17607,18128,19000,19684,20033,20473,20930,21292,21952,22655
30,03159,14171,14902,15044,15497,16158,15840,16041,16881,16547,16662,17537,18032,18459,18713,19177,19403,19986,20553,21130
32,03241,16009,16588,16516,16734,16704,17171,17624,17916,18261,18381,18675,19217,19624,19659,20040,20393,20856,21287,21859
34,03251,15738,16493,16265,16744,16972,17324,17676,17856,18432,18550,19058,19960,20479,20842,21524,21735,22287,22933,23428
35,03252,15355,15876,15805,16114,16129,16461,16881,17139,17621,17792,18217,18911,19504,19681,19957,20350,20964,21572,22142
36,03254,15260,15843,15805,16118,16163,16415,16723,16875,17273,17433,17769,18360,18865,18971,19480,19878,20505,21039,21685
37,03255,14960,15570,15387,15602,15515,15893,16286,16495,17048,17266,17675,18280,18789,18892,19245,19773,20165,20784,21438
