,kreis_name,license_plate,einw,crimes,income,crime_rate,income_pp
0,Augsburg,A,551730,28249,13002.443,0.051200768491834775,0.02356667754155112
1,Augsburg,A,551730,28249,13002.443,0.051200768491834775,0.02356667754155112
2,Ostalbkreis,AA,314294,12448,7642.678,0.03960622856306516,0.02431697073440791
3,Aschaffenburg,AB,245516,9839,5444.3060000000005,0.04007478127698399,0.022174953974486388
4,Aschaffenburg,AB,245516,9839,5444.3060000000005,0.04007478127698399,0.022174953974486388
5,Altenburger Land,ABG,88356,5574,1098.15,0.06308569876409073,0.01242869754176287
6,Anhalt-Bitterfeld,ABI,157217,11621,2324.662,0.07391694282424928,0.014786327178358573
7,Aachen,AC,556631,49142,12316.899,0.0882846984806811,0.022127583623621393
8,Vogtlandkreis,AE,223905,13866,3264.695,0.06192804984256716,0.014580715035394477
9,Borken,AH,371898,22203,7446.869,0.05970185373408838,0.02002395549317286
10,Rosenheim,AIB,611406,25621,21455.574,0.04190505163508373,0.03509218751533351
11,München,AIB,611406,25621,21455.574,0.04190505163508373,0.03509218751533351
12,Aichach-Friedberg,AIC,135024,3145,1848.362,0.023292155468657424,0.01368913674605996
13,Altenkirchen (Westerwald),AK,129087,6413,1959.934,0.04967967339856066,0.015183047092271104
14,Hildesheim,ALF,275464,16017,4640.144,0.05814552899834461,0.016844829088374525
15,Aschaffenburg,ALZ,174658,4591,2845.354,0.026285655395115026,0.01629100298869791
16,Amberg,AM,42052,2867,1590.431,0.06817749453058118,0.037820579282792734
17,Ansbach,AN,226997,8460,4484.326,0.03726921501165214,0.01975500116741631
18,Ansbach,AN,226997,8460,4484.326,0.03726921501165214,0.01975500116741631
19,Erzgebirgskreis,ANA,331917,11803,4579.686,0.035560094842987854,0.013797684360849247
20,Uckermark,ANG,118250,7747,1659.494,0.06551374207188161,0.014033775898520083
21,Vorpommern-Greifswald,ANK,235773,15107,3433.87,0.06407434269403198,0.014564305497236748
22,Weimarer Land,AP,82291,4322,1071.972,0.05252093181514382,0.013026600721828633
23,Weimarer Land,APD,82291,4322,1071.972,0.05252093181514382,0.013026600721828633
24,Ilm-Kreis,ARN,105606,6444,1672.464,0.06101926026930288,0.015836827452985626
25,Kyffhäuserkreis,ART,73522,5243,968.55,0.07131198824841543,0.013173607899676287
26,Amberg-Sulzbach,AS,102998,2748,1490.142,0.02668012971125653,0.014467678984057944
27,Salzlandkreis,ASL,187457,11899,2615.405,0.06347589047088133,0.013952026331371995
28,Erzgebirgskreis,ASZ,331917,11803,4579.686,0.035560094842987854,0.013797684360849247
29,Mecklenburgische Seenplatte,AT,258057,15356,4031.614,0.05950623311903959,0.0156229592686887
30,Erzgebirgskreis,AU,331917,11803,4579.686,0.035560094842987854,0.013797684360849247
31,Aurich,AUR,190178,9835,2615.997,0.051714709377530525,0.013755518514234033
32,Ahrweiler,AW,130479,8106,1837.666,0.06212493964546019,0.014083998191279822
33,Alzey-Worms,AZ,130715,5143,1472.524,0.03934514019049076,0.011265149370768465
34,Anhalt-Bitterfeld,AZE,157217,11621,2324.662,0.07391694282424928,0.014786327178358573
35,Altötting,AÖ,111654,4214,2923.286,0.03774159456893618,0.026181650455872608
36,Berlin,B,3664088,520436,85073.011,0.14203698164454565,0.023218058900332086
37,Bamberg,BA,224171,11644,5104.604,0.05194249033104193,0.02277102747456183
38,Bamberg,BA,224171,11644,5104.604,0.05194249033104193,0.02277102747456183
39,Baden-Baden,BAD,55449,4270,1724.008,0.07700770077007701,0.031091778030262043
40,Barnim,BAR,187343,11162,2185.098,0.059580555451764945,0.011663622339772502
41,Böblingen,BB,392898,16276,13289.979,0.04142550992878559,0.033825519600507004
42,Salzlandkreis,BBG,187457,11899,2615.405,0.06347589047088133,0.013952026331371995
43,Biberach,BC,202250,6836,5248.391,0.03379975278121137,0.025950017305315203
44,Neckar-Odenwald-Kreis,BCH,143797,4757,2439.709,0.03308135774737999,0.01696634143966842
45,Warendorf,BE,277417,13248,4961.532,0.04775482396536622,0.017884743905384314
46,Mittelsachsen,BED,301474,11826,4471.645,0.03922726337926322,0.01483260579685147
47,Barnim,BER,187343,11162,2185.098,0.059580555451764945,0.011663622339772502
48,Steinfurt,BF,448197,25650,8029.25,0.05722929872355237,0.017914555429866776
49,Berchtesgadener Land,BGD,106327,10962,1994.708,0.10309704966753505,0.01876012677871096
50,Berchtesgadener Land,BGL,106327,10962,1994.708,0.10309704966753505,0.01876012677871096
51,Ortenaukreis,BH,664671,37494,15464.216,0.05640986292466498,0.02326597068324028
52,Rastatt,BH,664671,37494,15464.216,0.05640986292466498,0.02326597068324028
53,Bielefeld,BI,333509,26370,8651.473,0.0790683309895685,0.025940748225685064
54,Marburg-Biedenkopf,BID,245903,10094,5337.529,0.04104870619715904,0.021705831161067578
55,Mainz-Bingen,BIN,211525,11530,3223.418,0.05450892329511878,0.015238945751093252
56,Birkenfeld,BIR,80830,4095,1331.793,0.050661882964245945,0.01647646913274774
57,Eifelkreis Bitburg-Prüm,BIT,100055,4020,1424.128,0.0401779021538154,0.014233451601619108
58,Bautzen,BIW,298010,15147,4670.436,0.050827153451226466,0.01567207811818395
59,Börde,BK,795713,34337,15640.385000000002,0.043152493424136594,0.019655811831652874
60,Rems-Murr-Kreis,BK,795713,34337,15640.385000000002,0.043152493424136594,0.019655811831652874
61,Schwäbisch Hall,BK,795713,34337,15640.385000000002,0.043152493424136594,0.019655811831652874
62,Bernkastel-Wittlich,BKS,112685,5373,1950.582,0.04768159027377202,0.017310041265474554
63,Zollernalbkreis,BL,189862,6494,3719.059,0.034203790121245956,0.019588221971747904
64,Siegen-Wittgenstein,BLB,275491,15926,6554.402,0.05780951101850877,0.023791710074013307
65,Burgenlandkreis,BLK,177590,13767,2414.552,0.07752125682752407,0.013596216003153331
66,Rhein-Erft-Kreis,BM,469611,31241,7830.407,0.06652527304513736,0.016674241020759737
67,Bonn,BN,330579,30762,12522.017,0.09305491274400371,0.037879045553407806
68,Leipzig,BNA,258386,14493,3245.622,0.05609050025930198,0.01256113721331651
69,Bochum,BO,364454,32207,7625.84,0.08837054882097603,0.02092401235821256
70,Straubing-Bogen,BOG,101745,2519,1369.045,0.02475797336478451,0.013455648926237162
71,Borken,BOH,371898,22203,7446.869,0.05970185373408838,0.02002395549317286
72,Borken,BOR,371898,22203,7446.869,0.05970185373408838,0.02002395549317286
73,Bottrop,BOT,117388,8404,1634.953,0.07159164480185368,0.013927769448325212
74,Wesermarsch,BRA,88524,4489,1654.309,0.050709412136821654,0.018687689214224392
75,Brandenburg an der Havel,BRB,72040,6696,1415.243,0.09294836202109939,0.01964523875624653
76,Jerichower Land,BRG,89403,6220,1256.599,0.06957260942026554,0.014055445566703578
77,Bad Kissingen,BRK,103169,3632,1908.821,0.035204373406740395,0.018501885256230068
78,Goslar,BRL,134688,8561,2184.051,0.06356171299596104,0.016215631682109766
79,Rotenburg (Wümme),BRV,164486,9652,2707.449,0.05867976605911749,0.01646005739090257
80,Braunschweig,BS,248561,22904,7484.807,0.09214639464759154,0.030112555871596912
81,Osnabrück,BSB,359471,16093,5789.596,0.04476856269351352,0.016105877803772765
82,Oder-Spree,BSK,179276,12295,2422.724,0.06858140520761284,0.01351393382270912
83,Bayreuth,BT,177727,8366,3940.9570000000003,0.04707219499569565,0.02217421663562655
84,Bayreuth,BT,177727,8366,3940.9570000000003,0.04707219499569565,0.02217421663562655
85,Anhalt-Bitterfeld,BTF,157217,11621,2324.662,0.07391694282424928,0.014786327178358573
86,Amberg-Sulzbach,BUL,251475,8306,4355.176,0.03302912814395069,0.017318524704244956
87,Schwandorf,BUL,251475,8306,4355.176,0.03302912814395069,0.017318524704244956
88,Bautzen,BZ,298010,15147,4670.436,0.050827153451226466,0.01567207811818395
89,Börde,BÖ,170567,9189,2541.576,0.05387325801591163,0.014900748679404574
90,Wetteraukreis,BÜD,310353,11789,4855.154,0.03798577748563732,0.015643973153151414
91,Paderborn,BÜR,308335,18322,6176.215,0.05942238150064054,0.020030859292652473
92,Konstanz,BÜS,286876,18501,5615.981,0.06449127846177442,0.019576336117346868
93,Rostock,BÜZ,217072,10585,2912.705,0.048762622539986734,0.013418151581042235
94,Chemnitz,C,244401,25452,5410.477,0.10414032675807382,0.022137704019214322
95,Oberspreewald-Lausitz,CA,108396,7039,1674.984,0.06493782058378537,0.015452452120004427
96,Recklinghausen,CAS,613599,43944,9070.621,0.07161680511213349,0.014782652840047
97,Cottbus,CB,98693,9439,2240.377,0.0956400149959977,0.022700465078577002
98,Celle,CE,179386,10949,3026.55,0.06103597828147124,0.01687171797130211
99,Cham,CHA,128094,4091,2549.895,0.031937483410620325,0.01990643589863694
100,Cloppenburg,CLP,172632,7020,2932.139,0.04066453496454887,0.01698491009778025
101,Goslar,CLZ,134688,8561,2184.051,0.06356171299596104,0.016215631682109766
102,Coburg,CO,127413,5825,3375.235,0.0457174699598942,0.026490507248083005
103,Coburg,CO,127413,5825,3375.235,0.0457174699598942,0.026490507248083005
104,Cochem-Zell,COC,61578,3004,1013.707,0.048783656500698304,0.016462161811036408
105,Coesfeld,COE,220712,11872,3391.515,0.05378955380767697,0.015366246511290732
106,Schwäbisch Hall,CR,197860,6656,4613.934,0.03363994743758213,0.023319185282522997
107,Cuxhaven,CUX,198826,10199,2307.81,0.05129610815486908,0.011607184171084264
108,Calw,CW,160149,4410,2586.872,0.027536856302568233,0.016152907604793036
109,Düsseldorf,D,620523,69239,28502.749,0.1115816819038134,0.04593342873672692
110,Darmstadt-Dieburg,DA,456875,21926,11480.952000000001,0.04799124487004104,0.02512930670314638
111,Darmstadt,DA,456875,21926,11480.952000000001,0.04799124487004104,0.02512930670314638
112,Dachau,DAH,155117,5033,2326.038,0.03244647588594416,0.01499537768265245
113,Lüchow-Dannenberg,DAN,48503,2225,631.99,0.04587345112673443,0.013029915675319052
114,Vulkaneifel,DAU,60491,2991,1058.442,0.049445372038815695,0.01749751202658247
115,Rostock,DBR,217072,10585,2912.705,0.048762622539986734,0.013418151581042235
116,Dresden,DD,556227,78410,13558.826,0.14096762652658,0.02437642545219847
117,Dessau-Roßlau,DE,79354,8870,1508.367,0.11177760415353984,0.019008077727650778
118,Deggendorf,DEG,119479,5598,2695.537,0.04685342194025728,0.022560759631399658
119,Delmenhorst,DEL,77503,6141,1015.873,0.0792356424912584,0.013107531321368205
120,Dingolfing-Landau,DGF,97244,3233,3396.23,0.03324626712187898,0.03492482826703961
121,Diepholz,DH,218072,10572,3328.816,0.048479401298653656,0.01526475659415239
122,Darmstadt-Dieburg,DI,297701,9805,4310.14,0.03293573081716219,0.014478083714868275
123,Lahn-Dill-Kreis,DIL,253373,9287,5276.147,0.03665347136435216,0.020823635509703085
124,Wesel,DIN,460113,28916,7036.438,0.0628454314483616,0.015292847626561301
125,Rhein-Lahn-Kreis,DIZ,122574,7403,1787.452,0.060396168844942644,0.014582635795519442
126,Ansbach,DKB,185316,5231,2918.167,0.0282274601221697,0.015746978134645685
127,Mittelsachsen,DL,301474,11826,4471.645,0.03922726337926322,0.01483260579685147
128,Dillingen an der Donau,DLG,97172,2569,1775.961,0.026437656938212654,0.018276468530029226
129,Mecklenburgische Seenplatte,DM,258057,15356,4031.614,0.05950623311903959,0.0156229592686887
130,Düren,DN,265140,16868,4471.287,0.06361922003469865,0.01686387191672324
131,Dortmund,DO,587696,67291,13898.594,0.11449967330048189,0.02364929147042008
132,Donau-Ries,DON,134324,5097,3473.076,0.03794556445609124,0.025855960215598106
133,Duisburg,DU,495885,49739,10266.638,0.10030349778678524,0.020703667180898798
134,Göttingen,DUD,323900,22082,7072.762,0.06817536276628589,0.021836251929607902
135,Sächsische Schweiz-Osterzgebirge,DW,244722,13006,3244.53,0.05314601874780363,0.013258023389805576
136,Nordsachsen,DZ,197444,12031,3150.306,0.06093373310913474,0.015955440529973056
137,Bad Dürkheim,DÜW,133004,6702,1489.023,0.05038946197106854,0.011195324952633003
138,Essen,E,582415,55779,14978.672,0.09577191521509576,0.025718211241125315
139,Wartburgkreis,EA,159937,4543,1903.351,0.028404934442936906,0.011900629622914024
140,Nordsachsen,EB,197444,12031,3150.306,0.06093373310913474,0.015955440529973056
141,Ebersberg,EBE,144091,4580,2298.361,0.031785468905066935,0.015950760283431998
142,Haßberge,EBN,84275,2743,1431.24,0.03254820528033225,0.016982972411747257
143,Kulmbach,EBS,291707,8747,4358.392,0.029985567710065237,0.01494099215994131
144,Forchheim,EBS,291707,8747,4358.392,0.029985567710065237,0.01494099215994131
145,Bayreuth,EBS,291707,8747,4358.392,0.029985567710065237,0.01494099215994131
146,Rendsburg-Eckernförde,ECK,274765,13283,4039.644,0.04834312958346223,0.01470217822502866
147,Erding,ED,138891,5408,2229.607,0.03893700815747601,0.016052926395518786
148,Elbe-Elster,EE,101085,5875,1362.979,0.05811940446159173,0.013483494089132908
149,Erfurt,EF,213692,22659,5404.034,0.10603578982835109,0.02528889242461112
150,Rottal-Inn,EG,121800,3690,1922.317,0.030295566502463053,0.015782569786535305
151,Oder-Spree,EH,179276,12295,2422.724,0.06858140520761284,0.01351393382270912
152,Eichstätt,EI,133169,3314,2414.993,0.024885671590234963,0.018134798639322967
153,Eichsfeld,EIC,99463,4124,1425.454,0.04146265445442024,0.014331500155836844
154,Mansfeld-Südharz,EIL,133690,10872,1588.709,0.08132246241304511,0.011883529059765129
155,Northeim,EIN,131772,6671,2121.895,0.050625322526788696,0.016102776007042467
156,Saale-Holzland-Kreis,EIS,82816,4373,1075.406,0.05280380602782071,0.012985485896445131
157,Emsland,EL,328930,17773,6774.018,0.05403277293041073,0.020594102088590277
158,Emmendingen,EM,166862,6482,2872.263,0.0388464719348923,0.017213403890640168
159,Emden,EMD,49874,4235,1922.337,0.08491398323775916,0.038543870553795566
