,kreis_key,bl_key,ew_eli_2019,ew_eli_2014,ew_vot_2019,ew_vot_2014,ew_invalid_2019,ew_invalid_2014,ew_valid_2019,ew_valid_2014,ew_vot_abs_christlich_demokratische_union_deutschlands_2019,ew_vot_abs_christlich_demokratische_union_deutschlands_2014,ew_vot_abs_sozialdemokratische_partei_deutschlands_2019,ew_vot_abs_sozialdemokratische_partei_deutschlands_2014,ew_vot_abs_buendnis_90_die_gruenen_2019,ew_vot_abs_buendnis_90_die_gruenen_2014,ew_vot_abs_die_linke_2019,ew_vot_abs_die_linke_2014,ew_vot_abs_alternative_fuer_deutschland_2019,ew_vot_abs_alternative_fuer_deutschland_2014,ew_vot_abs_christlich_soziale_union_in_bayern_e_v__2019,ew_vot_abs_christlich_soziale_union_in_bayern_e_v__2014,ew_vot_abs_freie_demokratische_partei_2019,ew_vot_abs_freie_demokratische_partei_2014,ew_vot_abs_freie_waehler_2019,ew_vot_abs_freie_waehler_2014,ew_vot_abs_piratenpartei_deutschland_2019,ew_vot_abs_piratenpartei_deutschland_2014,ew_vot_abs_partei_mensch_umwelt_tierschutz_2019,ew_vot_abs_partei_mensch_umwelt_tierschutz_2014,ew_vot_abs_nationaldemokratische_partei_deutschlands_2019,ew_vot_abs_nationaldemokratische_partei_deutschlands_2014,ew_vot_abs_familien_partei_deutschlands_2019,ew_vot_abs_familien_partei_deutschlands_2014,ew_vot_abs_oekologisch_demokratische_partei_2019,ew_vot_abs_oekologisch_demokratische_partei_2014,"ew_vot_abs_partei_fuer_arbeit,_rechtsstaat,_tierschutz,_elitenfoerderung_und_basisdemokratische_initiative_2019","ew_vot_abs_partei_fuer_arbeit,_rechtsstaat,_tierschutz,_elitenfoerderung_und_basisdemokratische_initiative_2014",ew_vot_abs_ab_jetzt___demokratie_durch_volksabstimmung___politik_fuer_die_menschen_2019,ew_vot_abs_ab_jetzt___demokratie_durch_volksabstimmung___politik_fuer_die_menschen_2014,ew_vot_abs_bayernpartei_2019,ew_vot_abs_bayernpartei_2014,ew_vot_abs_deutsche_kommunistische_partei_2019,ew_vot_abs_deutsche_kommunistische_partei_2014,ew_vot_abs_marxistisch_leninistische_partei_deutschlands_2019,ew_vot_abs_marxistisch_leninistische_partei_deutschlands_2014,"ew_vot_abs_sozialistische_gleichheitspartei,_vierte_internationale_2019","ew_vot_abs_sozialistische_gleichheitspartei,_vierte_internationale_2014",ew_vot_abs_aktion_partei_fuer_tierschutz_–_das_original_2019,"ew_vot_abs_allianz_fuer_menschenrechte,_tier__und_naturschutz_2019",ew_vot_abs_buendnis_c___christen_fuer_deutschland_2019,ew_vot_abs_buendnis_fuer_innovation_&_gerechtigkeit_2019,ew_vot_abs_buendnis_grundeinkommen___die_grundeinkommenspartei_2019,ew_vot_abs_demokratie_direkt!_2019,ew_vot_abs_demokratie_in_europa___diem25_2019,ew_vot_abs_der_dritte_weg_2019,ew_vot_abs_die_grauen_–_fuer_alle_generationen_2019,"ew_vot_abs_die_rechte_–_partei_fuer_volksabstimmung,_souveraenitaet_und_heimatschutz_2019",ew_vot_abs_die_violetten_2019,ew_vot_abs_europaeische_partei_liebe_2019,ew_vot_abs_feministische_partei_die_frauen_2019,ew_vot_abs_graue_panther_2019,ew_vot_abs_lkr___bernd_lucke_und_die_liberal_konservativen_reformer_2019,ew_vot_abs_menschliche_welt___fuer_das_wohl_und_gluecklichsein_aller_2019,ew_vot_abs_neue_liberale_–_die_sozialliberalen_2019,ew_vot_abs_oekologische_linke_2019,ew_vot_abs_partei_der_humanisten_2019,ew_vot_abs_partei_fuer_die_tiere_deutschland_2019,ew_vot_abs_partei_fuer_gesundheitsforschung_2019,ew_vot_abs_volt_deutschland_2019,ew_vot_abs_volt_deutschland_2014
0,01001,1.0,70431.0,70929.0,39647.0,25350.0,237.0,176.0,39410.0,25174.0,6829.0,6446.0,5676.0,8161.0,14603.0,4380.0,2349.0,1911.0,2477.0,1583.0,0.0,0.0,1988.0,764.0,257.0,103.0,405.0,497.0,925.0,382.0,44.0,113.0,345.0,181.0,184.0,85.0,1663.0,301.0,45.0,61.0,24.0,6.0,14.0,21.0,13.0,13.0,15.0,6.0,118.0,80.0,48.0,34.0,72.0,33.0,222.0,7.0,74.0,19.0,40.0,38.0,55.0,80.0,28.0,40.0,24.0,52.0,97.0,61.0,47.0,285.0,160.0
1,01002,1.0,186195.0,188135.0,109595.0,75741.0,577.0,405.0,109018.0,75336.0,18311.0,17477.0,17911.0,25918.0,40324.0,14305.0,6497.0,4863.0,6459.0,4418.0,0.0,0.0,5270.0,2651.0,525.0,210.0,1358.0,1835.0,1488.0,1121.0,119.0,328.0,599.0,333.0,516.0,210.0,4962.0,1054.0,85.0,152.0,38.0,20.0,68.0,87.0,42.0,49.0,12.0,22.0,197.0,155.0,85.0,129.0,150.0,64.0,675.0,9.0,180.0,37.0,84.0,71.0,103.0,243.0,110.0,99.0,62.0,198.0,371.0,144.0,129.0,1139.0,283.0
2,01003,1.0,166530.0,167198.0,90946.0,62933.0,461.0,424.0,90485.0,62509.0,18416.0,17141.0,17566.0,21356.0,28633.0,9556.0,4231.0,3747.0,6773.0,4334.0,0.0,0.0,4174.0,1953.0,1018.0,551.0,883.0,1264.0,1189.0,735.0,162.0,359.0,611.0,345.0,456.0,164.0,2680.0,500.0,77.0,124.0,48.0,19.0,49.0,39.0,40.0,48.0,6.0,18.0,214.0,125.0,97.0,213.0,89.0,56.0,332.0,13.0,121.0,40.0,78.0,97.0,126.0,181.0,73.0,68.0,54.0,97.0,234.0,126.0,104.0,935.0,256.0
3,01004,1.0,60215.0,60970.0,29036.0,27659.0,231.0,409.0,28805.0,27250.0,7039.0,8948.0,5286.0,9680.0,7809.0,2432.0,1041.0,1278.0,2761.0,1960.0,0.0,0.0,1539.0,829.0,240.0,120.0,352.0,483.0,407.0,388.0,140.0,341.0,287.0,338.0,123.0,35.0,678.0,114.0,44.0,77.0,25.0,6.0,11.0,16.0,9.0,14.0,3.0,6.0,71.0,42.0,43.0,101.0,28.0,25.0,62.0,6.0,69.0,12.0,21.0,28.0,42.0,80.0,70.0,17.0,14.0,20.0,56.0,56.0,34.0,114.0,185.0
4,01051,1.0,107045.0,107804.0,58244.0,42819.0,475.0,469.0,57769.0,42350.0,17955.0,17958.0,10294.0,12381.0,12121.0,3432.0,2002.0,1775.0,5121.0,2325.0,0.0,0.0,4498.0,1734.0,609.0,292.0,539.0,571.0,886.0,574.0,98.0,263.0,613.0,403.0,157.0,84.0,1089.0,224.0,81.0,97.0,28.0,15.0,22.0,22.0,13.0,22.0,12.0,10.0,126.0,94.0,25.0,6.0,64.0,32.0,100.0,13.0,126.0,38.0,47.0,65.0,70.0,170.0,45.0,54.0,23.0,41.0,78.0,118.0,111.0,185.0,168.0
5,01053,1.0,152666.0,150105.0,91899.0,69625.0,609.0,588.0,91290.0,69037.0,24912.0,23887.0,15940.0,21663.0,23552.0,8232.0,3168.0,2996.0,8355.0,5182.0,0.0,0.0,5774.0,2747.0,990.0,328.0,658.0,951.0,1439.0,932.0,171.0,520.0,919.0,605.0,508.0,160.0,1877.0,329.0,91.0,122.0,69.0,27.0,33.0,29.0,24.0,21.0,13.0,14.0,216.0,149.0,124.0,40.0,79.0,54.0,196.0,18.0,192.0,51.0,68.0,97.0,109.0,212.0,115.0,68.0,49.0,60.0,127.0,164.0,107.0,502.0,292.0
6,01054,1.0,131877.0,130887.0,77635.0,53913.0,446.0,419.0,77189.0,53494.0,23444.0,21081.0,12566.0,16215.0,22580.0,5968.0,2449.0,2036.0,4373.0,3038.0,0.0,0.0,4432.0,2044.0,563.0,241.0,815.0,760.0,1115.0,702.0,119.0,226.0,771.0,455.0,244.0,104.0,1340.0,225.0,88.0,105.0,38.0,25.0,18.0,22.0,22.0,25.0,12.0,15.0,198.0,132.0,50.0,17.0,76.0,40.0,148.0,11.0,132.0,34.0,63.0,92.0,96.0,184.0,48.0,73.0,25.0,78.0,104.0,148.0,114.0,337.0,207.0
7,01055,1.0,165528.0,165120.0,96712.0,70141.0,723.0,618.0,95989.0,69523.0,28117.0,25452.0,18289.0,22636.0,24383.0,6949.0,2823.0,2407.0,7752.0,5439.0,0.0,0.0,5910.0,2815.0,1018.0,422.0,752.0,752.0,1282.0,854.0,171.0,321.0,947.0,589.0,336.0,117.0,1455.0,256.0,85.0,146.0,61.0,34.0,45.0,23.0,16.0,18.0,17.0,11.0,253.0,131.0,101.0,32.0,72.0,56.0,181.0,22.0,161.0,30.0,74.0,85.0,99.0,190.0,93.0,58.0,31.0,70.0,104.0,208.0,124.0,355.0,282.0
8,01056,1.0,239300.0,236519.0,150689.0,108214.0,1005.0,784.0,149684.0,107430.0,39119.0,36411.0,25994.0,34766.0,43260.0,13327.0,5480.0,4795.0,11681.0,7628.0,0.0,0.0,9465.0,4288.0,1102.0,466.0,1254.0,1554.0,2049.0,1257.0,182.0,590.0,1119.0,710.0,691.0,237.0,3258.0,526.0,179.0,203.0,87.0,46.0,54.0,97.0,22.0,29.0,15.0,23.0,352.0,241.0,152.0,194.0,114.0,104.0,452.0,31.0,313.0,68.0,119.0,110.0,179.0,381.0,183.0,94.0,83.0,99.0,222.0,219.0,169.0,794.0,477.0
9,01057,1.0,105085.0,104325.0,66925.0,48942.0,424.0,374.0,66501.0,48568.0,18150.0,16996.0,11683.0,15663.0,19797.0,6238.0,2067.0,1793.0,4846.0,3390.0,0.0,0.0,3618.0,1750.0,559.0,235.0,582.0,591.0,900.0,735.0,100.0,217.0,564.0,350.0,231.0,80.0,1365.0,226.0,61.0,76.0,37.0,12.0,25.0,26.0,24.0,6.0,9.0,11.0,172.0,104.0,65.0,20.0,52.0,37.0,142.0,7.0,148.0,24.0,48.0,70.0,54.0,136.0,83.0,57.0,22.0,44.0,81.0,149.0,76.0,292.0,173.0
10,01058,1.0,218614.0,216954.0,136614.0,99710.0,793.0,765.0,135821.0,98945.0,38936.0,36318.0,22593.0,31266.0,39806.0,11936.0,4221.0,3566.0,9206.0,6678.0,0.0,0.0,7544.0,3652.0,1001.0,399.0,1302.0,1363.0,2091.0,1463.0,195.0,341.0,1205.0,691.0,573.0,188.0,2993.0,439.0,126.0,184.0,71.0,22.0,36.0,50.0,29.0,29.0,15.0,20.0,317.0,231.0,95.0,87.0,131.0,71.0,327.0,18.0,282.0,48.0,110.0,96.0,128.0,320.0,153.0,97.0,64.0,123.0,201.0,269.0,178.0,532.0,340.0
11,01059,1.0,159674.0,156854.0,95525.0,66056.0,618.0,519.0,94907.0,65537.0,27527.0,25375.0,15339.0,19876.0,28887.0,7527.0,3123.0,2581.0,5705.0,4273.0,0.0,0.0,4739.0,2045.0,1087.0,501.0,841.0,828.0,1474.0,873.0,103.0,225.0,997.0,574.0,361.0,120.0,1880.0,289.0,88.0,133.0,53.0,19.0,24.0,28.0,20.0,17.0,11.0,18.0,256.0,158.0,55.0,28.0,92.0,71.0,170.0,12.0,187.0,45.0,80.0,103.0,96.0,202.0,68.0,61.0,37.0,71.0,117.0,199.0,131.0,409.0,235.0
12,01060,1.0,212630.0,209166.0,126584.0,88572.0,766.0,606.0,125818.0,87966.0,34078.0,32123.0,21105.0,27786.0,33886.0,9282.0,4597.0,3651.0,10296.0,6364.0,0.0,0.0,8446.0,3236.0,1407.0,460.0,1065.0,1360.0,1937.0,1159.0,212.0,457.0,1403.0,811.0,590.0,187.0,2552.0,407.0,159.0,201.0,79.0,22.0,43.0,38.0,18.0,25.0,13.0,15.0,304.0,216.0,143.0,71.0,105.0,85.0,309.0,17.0,316.0,50.0,105.0,122.0,165.0,351.0,144.0,92.0,53.0,93.0,168.0,223.0,147.0,653.0,382.0
13,01061,1.0,104839.0,105504.0,60505.0,44391.0,387.0,382.0,60118.0,44009.0,17285.0,16692.0,9848.0,12986.0,16150.0,4549.0,2159.0,2100.0,4675.0,2563.0,0.0,0.0,3682.0,1981.0,593.0,374.0,613.0,767.0,978.0,508.0,123.0,311.0,598.0,428.0,200.0,83.0,1272.0,290.0,96.0,96.0,40.0,20.0,21.0,25.0,11.0,5.0,10.0,8.0,159.0,109.0,76.0,42.0,41.0,34.0,99.0,11.0,121.0,23.0,58.0,83.0,47.0,146.0,53.0,49.0,25.0,47.0,97.0,96.0,61.0,287.0,223.0
