,kreis_key,kreis_name
0,09361,Amberg
1,09561,Ansbach
2,09661,Aschaffenburg
3,09761,Augsburg
4,08211,Baden-Baden
5,09461,Bamberg
6,09462,Bayreuth
7,11000,Berlin
8,05711,Bielefeld
9,05911,Bochum
11,05314,Bonn
12,05512,Bottrop
13,12051,Brandenburg an der Havel
14,03101,Braunschweig
15,04011,Bremen
16,04012,Bremerhaven
17,14511,Chemnitz
18,09463,Coburg
20,12052,Cottbus
21,06411,Darmstadt
22,03401,Delmenhorst
23,15001,Dessau-Roßlau
25,05913,Dortmund
26,14612,Dresden
27,05112,Duisburg
28,05111,Düsseldorf
29,03402,Emden
30,16051,Erfurt
31,09562,Erlangen
32,05113,Essen
33,01001,Flensburg
34,07311,Frankenthal
35,12053,Frankfurt
36,06412,Frankfurt am Main
37,08311,Freiburg im Breisgau
38,09563,Fürth
39,05513,Gelsenkirchen
40,16052,Gera
41,05914,Hagen
42,15002,Halle
43,02000,Hamburg
44,05915,Hamm
45,08221,Heidelberg
46,08121,Heilbronn
47,05916,Herne
49,09464,Hof
50,09161,Ingolstadt
51,16053,Jena
52,07312,Kaiserslautern
53,08212,Karlsruhe
54,06611,Kassel
55,09762,Kaufbeuren
56,09763,Kempten
57,01002,Kiel
58,07111,Koblenz
59,05315,Köln
60,05114,Krefeld
61,07313,Landau in der Pfalz
62,09261,Landshut
63,14713,Leipzig
64,05316,Leverkusen
66,01003,Lübeck
67,07314,Ludwigshafen am Rhein
68,15003,Magdeburg
69,07315,Mainz
70,08222,Mannheim
71,09764,Memmingen
72,05116,Mönchengladbach
73,05117,Mülheim an der Ruhr
74,09162,München
75,05515,Münster
76,01004,Neumünster
77,07316,Neustadt an der Weinstraße
78,09564,Nürnberg
79,05119,Oberhausen
80,06413,Offenbach am Main
81,03403,Oldenburg
82,03404,Osnabrück
83,09262,Passau
84,08231,Pforzheim
85,07317,Pirmasens
86,12054,Potsdam
87,09362,Regensburg
88,05120,Remscheid
89,09163,Rosenheim
90,13003,Rostock
91,03102,Salzgitter
92,09565,Schwabach
93,09662,Schweinfurt
94,13004,Schwerin
95,05122,Solingen
96,07318,Speyer
97,09263,Straubing
98,08111,Stuttgart
99,16054,Suhl
100,07211,Trier
101,08421,Ulm
102,09363,Weiden in der Oberpfalz
103,16055,Weimar
104,06414,Wiesbaden
105,03405,Wilhelmshaven
106,03103,Wolfsburg
107,07319,Worms
108,05124,Wuppertal
109,09663,Würzburg
110,07320,Zweibrücken
111,05334,Aachen
113,07131,Ahrweiler
114,09771,Aichach-Friedberg
116,08425,Alb-Donau-Kreis
117,16077,Altenburger Land
119,07132,Altenkirchen (Westerwald)
120,15081,Altmarkkreis Salzwedel
123,09171,Altötting
125,07331,Alzey-Worms
126,09371,Amberg-Sulzbach
131,03451,Ammerland
132,15082,Anhalt-Bitterfeld
137,09571,Ansbach
141,09671,Aschaffenburg
143,09772,Augsburg
146,03452,Aurich
148,07332,Bad Dürkheim
149,09672,Bad Kissingen
152,07133,Bad Kreuznach
153,09173,Bad Tölz-Wolfratshausen
155,09471,Bamberg
156,12060,Barnim
159,14625,Bautzen
163,09472,Bayreuth
