,kreis_key,crimes_2013,fraud_2013,crimes_2014,fraud_2014,crimes_2015,fraud_2015,crimes_2016,fraud_2016,crimes_2017,fraud_2017,crimes_2018,fraud_2018,crimes_2019,fraud_2019,crimes_2020,fraud_2020
0,01001,8876.0,969.0,9754.0,1131.0,10828.0,1354.0,9993.0,1305.0,8907.0,1181.0,8156.0,886.0,8617.0,794.0,8380.0,897.0
1,01002,24043.0,2310.0,24380.0,2627.0,26078.0,2694.0,25908.0,2362.0,23934.0,2380.0,24621.0,2406.0,22452.0,2089.0,21384.0,1888.0
2,01003,24526.0,2185.0,24907.0,2297.0,22881.0,2282.0,25647.0,2351.0,23614.0,2216.0,22685.0,2138.0,21768.0,2321.0,20942.0,1881.0
3,01004,11737.0,1344.0,13078.0,1215.0,17418.0,1208.0,14524.0,1313.0,9751.0,1326.0,10688.0,1488.0,11397.0,1695.0,9453.0,1321.0
4,01051,7248.0,672.0,7189.0,763.0,7345.0,987.0,7661.0,1015.0,7262.0,977.0,7224.0,945.0,6786.0,1000.0,6597.0,967.0
5,01053,10547.0,1141.0,10774.0,1213.0,10615.0,1352.0,10273.0,1229.0,10167.0,1274.0,10035.0,1337.0,10060.0,1343.0,9957.0,1677.0
6,01054,9809.0,913.0,9190.0,846.0,8938.0,920.0,10547.0,996.0,8561.0,990.0,8964.0,859.0,8277.0,977.0,8444.0,989.0
7,01055,14026.0,1135.0,14109.0,1472.0,13543.0,1369.0,13910.0,1425.0,13119.0,1305.0,12542.0,1348.0,12709.0,1502.0,11715.0,1425.0
8,01056,20390.0,2529.0,20355.0,2473.0,19779.0,2221.0,18956.0,2061.0,17571.0,1857.0,17961.0,1964.0,18552.0,2323.0,17338.0,2051.0
9,01057,6379.0,696.0,6353.0,777.0,5850.0,781.0,5671.0,508.0,5480.0,604.0,5473.0,662.0,5318.0,539.0,5341.0,652.0
10,01058,15916.0,3018.0,15047.0,2896.0,13195.0,1812.0,13705.0,1748.0,13283.0,1816.0,12478.0,1633.0,12525.0,1456.0,11960.0,1513.0
11,01059,8981.0,916.0,10118.0,1150.0,9721.0,1130.0,10439.0,1071.0,9498.0,972.0,9382.0,1133.0,9130.0,966.0,9387.0,1133.0
12,01060,15540.0,1520.0,15823.0,1665.0,15252.0,1633.0,17890.0,1749.0,15893.0,2144.0,17114.0,2224.0,15297.0,2057.0,13970.0,1626.0
13,01061,8452.0,1586.0,7805.0,1061.0,7380.0,913.0,8433.0,1159.0,8390.0,1084.0,6986.0,1122.0,7333.0,1173.0,6655.0,1110.0
14,01062,13494.0,1388.0,13419.0,1568.0,13775.0,1536.0,12984.0,1356.0,13549.0,1932.0,12585.0,1716.0,13224.0,1859.0,12406.0,2128.0
15,02000,238019.0,34178.0,239541.0,31383.0,243313.0,32025.0,238464.0,31046.0,224292.0,33175.0,216569.0,33301.0,206790.0,29105.0,199280.0,26352.0
16,03101,23692.0,3809.0,25074.0,4848.0,25497.0,3951.0,23902.0,3520.0,22904.0,3949.0,21355.0,3325.0,19663.0,3083.0,18952.0,3279.0
17,03102,6122.0,934.0,6510.0,863.0,6379.0,919.0,6563.0,855.0,5867.0,849.0,6359.0,926.0,6375.0,952.0,6297.0,972.0
18,03103,8537.0,893.0,8844.0,1127.0,9606.0,1593.0,8988.0,1151.0,8274.0,1187.0,9086.0,931.0,8897.0,1018.0,8586.0,1071.0
19,03151,8111.0,1009.0,7749.0,1114.0,7756.0,1152.0,7464.0,1088.0,7091.0,1097.0,6889.0,855.0,6969.0,888.0,6630.0,951.0
20,03152,20955.0,2876.0,20772.0,3195.0,21825.0,2748.0,20147.0,2555.0,,,,,,,,
21,03153,8851.0,1379.0,10025.0,2186.0,9687.0,1640.0,9186.0,1496.0,8561.0,1525.0,8887.0,1580.0,8794.0,1481.0,8499.0,1480.0
22,03154,5393.0,866.0,6052.0,1065.0,5949.0,1003.0,5733.0,906.0,5828.0,876.0,5468.0,913.0,5718.0,1129.0,6088.0,1056.0
23,03155,7208.0,1399.0,6986.0,1268.0,7589.0,1467.0,7791.0,1401.0,6671.0,980.0,6692.0,1038.0,6794.0,1177.0,6387.0,1040.0
24,03156,4344.0,1048.0,4241.0,1102.0,4002.0,934.0,4174.0,832.0,,,,,,,,
25,03157,6340.0,1121.0,6660.0,1384.0,6547.0,1400.0,7056.0,1183.0,6840.0,1313.0,6707.0,1335.0,7125.0,1388.0,7137.0,1635.0
26,03158,5223.0,851.0,5154.0,786.0,4841.0,680.0,4693.0,636.0,4583.0,696.0,4521.0,636.0,4535.0,640.0,4186.0,742.0
27,03241,113031.0,23194.0,116719.0,24345.0,121119.0,25444.0,121698.0,25708.0,114685.0,24334.0,105931.0,19361.0,106301.0,21014.0,103849.0,19957.0
28,03251,11541.0,1937.0,12149.0,2242.0,11834.0,2412.0,11942.0,1912.0,10572.0,1786.0,9986.0,1726.0,10356.0,1663.0,10363.0,1974.0
29,03252,9583.0,1641.0,9677.0,1663.0,9560.0,1779.0,9215.0,1446.0,9294.0,1690.0,8367.0,1379.0,8028.0,1179.0,7879.0,1177.0
30,03254,17775.0,2278.0,17375.0,2643.0,17443.0,2631.0,18199.0,2376.0,16017.0,2328.0,15953.0,2161.0,16494.0,2572.0,15869.0,2247.0
31,03255,3696.0,624.0,3667.0,709.0,3643.0,740.0,3488.0,603.0,3513.0,491.0,3415.0,481.0,3336.0,431.0,3347.0,428.0
32,03256,6819.0,850.0,6646.0,949.0,6345.0,1177.0,6856.0,1044.0,6405.0,1091.0,6651.0,1020.0,6727.0,1080.0,6897.0,1304.0
33,03257,9290.0,1804.0,10419.0,2216.0,9520.0,2114.0,9222.0,1905.0,8817.0,1661.0,8457.0,1786.0,9345.0,2174.0,8654.0,1665.0
34,03351,11254.0,1286.0,11807.0,1846.0,13279.0,1834.0,11581.0,1596.0,10949.0,1515.0,10714.0,1360.0,11806.0,1377.0,11580.0,1621.0
35,03352,10952.0,1300.0,10663.0,1496.0,10404.0,1377.0,9773.0,1290.0,10199.0,1316.0,10155.0,1454.0,9815.0,1300.0,9943.0,1331.0
36,03353,13756.0,1664.0,13532.0,1940.0,14639.0,2153.0,17732.0,5319.0,12957.0,1848.0,12849.0,1617.0,12696.0,1728.0,12840.0,2489.0
37,03354,2325.0,212.0,2348.0,302.0,2785.0,548.0,2454.0,275.0,2225.0,219.0,2350.0,256.0,2570.0,391.0,2583.0,229.0
38,03355,12538.0,1530.0,12038.0,1392.0,13130.0,1686.0,12593.0,1244.0,12574.0,1384.0,12169.0,1443.0,12473.0,1426.0,12196.0,1704.0
39,03356,5642.0,649.0,5752.0,868.0,6207.0,980.0,6018.0,900.0,5374.0,743.0,5197.0,704.0,4773.0,621.0,4436.0,700.0
40,03357,10544.0,1336.0,10185.0,1431.0,10205.0,1458.0,10189.0,1451.0,9652.0,1578.0,8950.0,1226.0,8506.0,1362.0,8644.0,1464.0
41,03358,10721.0,1531.0,10815.0,2025.0,11248.0,1870.0,11233.0,1721.0,12440.0,2410.0,10506.0,1611.0,10189.0,1760.0,10550.0,2041.0
42,03359,10876.0,1391.0,12112.0,1831.0,11825.0,1560.0,10941.0,1527.0,11529.0,1727.0,10475.0,1435.0,10915.0,1473.0,11159.0,1847.0
43,03360,5367.0,888.0,5274.0,878.0,6066.0,1329.0,5721.0,854.0,4973.0,703.0,5365.0,710.0,4820.0,786.0,4524.0,760.0
44,03361,9073.0,1525.0,8884.0,1586.0,8690.0,1724.0,8550.0,1277.0,8146.0,1552.0,7356.0,1243.0,7143.0,1413.0,7037.0,1573.0
45,03401,7855.0,1705.0,6528.0,1073.0,6609.0,1149.0,6641.0,1060.0,6141.0,1308.0,6038.0,1064.0,5352.0,969.0,5084.0,1060.0
46,03402,4629.0,387.0,4321.0,420.0,4598.0,402.0,4540.0,411.0,4235.0,555.0,4122.0,520.0,3558.0,430.0,3818.0,511.0
47,03403,14458.0,1804.0,14124.0,1823.0,14598.0,1709.0,14816.0,1769.0,13583.0,1783.0,12997.0,1680.0,12914.0,1640.0,11979.0,1640.0
48,03404,17752.0,2879.0,19145.0,3073.0,17756.0,2845.0,17527.0,2594.0,17176.0,2929.0,17602.0,3459.0,17049.0,2599.0,15902.0,2066.0
49,03405,8982.0,1243.0,9353.0,1506.0,10180.0,1636.0,10073.0,1167.0,10421.0,1668.0,9159.0,1668.0,8127.0,1158.0,7747.0,1113.0
50,03451,5083.0,606.0,5448.0,833.0,5013.0,766.0,5113.0,707.0,4818.0,680.0,4782.0,968.0,4630.0,652.0,4240.0,617.0
51,03452,11404.0,1317.0,10958.0,1135.0,11174.0,1240.0,11452.0,1223.0,9835.0,1198.0,9248.0,1051.0,10155.0,1312.0,9911.0,1219.0
52,03453,8880.0,1616.0,8153.0,1457.0,7787.0,1312.0,7704.0,1319.0,7020.0,1244.0,6491.0,1056.0,6867.0,1224.0,6593.0,1133.0
53,03454,18354.0,2303.0,18148.0,2288.0,18328.0,2963.0,19083.0,2722.0,17773.0,2873.0,18758.0,3383.0,18378.0,3216.0,16338.0,2692.0
54,03455,6177.0,922.0,5856.0,867.0,5612.0,758.0,5586.0,661.0,5463.0,771.0,5180.0,643.0,4945.0,597.0,5088.0,625.0
55,03456,8842.0,1132.0,9149.0,1338.0,8309.0,1156.0,8738.0,1152.0,8117.0,1119.0,7747.0,1080.0,7381.0,978.0,7015.0,1043.0
56,03457,9933.0,1467.0,9631.0,1317.0,9934.0,1451.0,9567.0,1420.0,8747.0,1409.0,8404.0,1217.0,9173.0,1450.0,8842.0,1358.0
57,03458,7833.0,2170.0,6686.0,1196.0,6341.0,1219.0,6420.0,1040.0,6409.0,1170.0,6019.0,1118.0,5554.0,888.0,5810.0,1246.0
58,03459,16703.0,2575.0,17008.0,2956.0,23864.0,3084.0,17555.0,2603.0,16093.0,2779.0,16064.0,2708.0,14862.0,2655.0,14552.0,2508.0
59,03460,8696.0,1787.0,8096.0,1210.0,7214.0,1077.0,6856.0,983.0,6417.0,1045.0,6481.0,1088.0,6471.0,979.0,6344.0,1136.0
60,03461,4910.0,578.0,5256.0,745.0,4967.0,613.0,7725.0,3469.0,4489.0,804.0,4474.0,694.0,4632.0,676.0,4955.0,913.0
61,03462,2916.0,358.0,3228.0,386.0,3306.0,413.0,3453.0,658.0,2966.0,412.0,3206.0,513.0,3369.0,495.0,2867.0,341.0
62,04011,71212.0,12158.0,70781.0,12561.0,76978.0,13866.0,78465.0,13417.0,68343.0,11550.0,62101.0,12515.0,65869.0,11996.0,66971.0,13124.0
63,04012,14154.0,1303.0,12819.0,1564.0,14091.0,1808.0,13259.0,2126.0,12647.0,1632.0,12206.0,1530.0,12020.0,1501.0,13306.0,1964.0
64,05111,87610.0,15768.0,86071.0,15319.0,84260.0,12980.0,77929.0,11199.0,69239.0,10870.0,62734.0,9426.0,64525.0,9219.0,62180.0,10427.0
65,05112,52048.0,11147.0,50482.0,10721.0,55604.0,12810.0,54023.0,11941.0,49739.0,9927.0,44070.0,8935.0,42166.0,8264.0,43091.0,9816.0
66,05113,57317.0,13554.0,62283.0,16235.0,66407.0,17145.0,61450.0,15411.0,55779.0,16876.0,50065.0,14710.0,47666.0,12492.0,43545.0,9120.0
67,05114,22219.0,4242.0,23290.0,5604.0,22965.0,5784.0,22621.0,4477.0,21934.0,4745.0,21679.0,4780.0,20570.0,4362.0,20164.0,3960.0
68,05116,22516.0,3313.0,22409.0,4009.0,23515.0,3387.0,22182.0,2851.0,21546.0,3459.0,19938.0,2714.0,19542.0,2445.0,21552.0,3312.0
69,05117,13249.0,3291.0,13570.0,3472.0,14518.0,3908.0,14037.0,3268.0,12243.0,3237.0,11285.0,3093.0,9647.0,2140.0,9018.0,1937.0
70,05119,18633.0,2706.0,18938.0,3187.0,18936.0,3178.0,17419.0,2314.0,16470.0,2179.0,15884.0,1961.0,15053.0,2016.0,15552.0,2647.0
71,05120,7842.0,941.0,7888.0,1183.0,7849.0,1387.0,7485.0,1095.0,7180.0,1197.0,6851.0,778.0,6958.0,635.0,6275.0,837.0
72,05122,12506.0,2451.0,11995.0,2424.0,11408.0,1976.0,11144.0,1900.0,9962.0,1488.0,9809.0,1431.0,9935.0,1421.0,9449.0,1716.0
73,05124,34190.0,6378.0,33637.0,6405.0,37068.0,6506.0,37021.0,5668.0,34691.0,4875.0,31829.0,4589.0,30040.0,4408.0,28619.0,4027.0
74,05154,22316.0,2420.0,22873.0,3792.0,24242.0,3667.0,22202.0,2503.0,20958.0,2934.0,20042.0,2228.0,18254.0,2168.0,18372.0,2761.0
75,05158,33899.0,5229.0,33465.0,5322.0,32491.0,3997.0,31005.0,3651.0,29072.0,3295.0,27965.0,3093.0,26844.0,3549.0,27520.0,3623.0
76,05162,31665.0,6665.0,32201.0,6677.0,30788.0,5449.0,30860.0,4724.0,28251.0,5456.0,27544.0,4458.0,24824.0,4145.0,23900.0,4033.0
77,05166,16459.0,2291.0,18481.0,3331.0,18648.0,2379.0,18936.0,2174.0,17940.0,2570.0,16926.0,2236.0,15879.0,2333.0,16867.0,2544.0
78,05170,32747.0,4490.0,31423.0,4702.0,30240.0,3890.0,32029.0,3731.0,28916.0,2982.0,25582.0,2649.0,23278.0,2316.0,23955.0,2904.0
79,05314,34649.0,5274.0,35781.0,6334.0,36022.0,5655.0,35067.0,6483.0,30762.0,3845.0,27996.0,3001.0,26475.0,2523.0,27687.0,2913.0
80,05315,153744.0,23413.0,157113.0,23209.0,155510.0,19775.0,145821.0,19701.0,136858.0,19241.0,125349.0,16495.0,122776.0,17293.0,113084.0,15726.0
81,05316,14061.0,2083.0,14786.0,2168.0,13958.0,1774.0,13218.0,1452.0,12570.0,1674.0,11964.0,1444.0,11037.0,1235.0,10495.0,1249.0
82,05334,51953.0,6239.0,53428.0,7682.0,56158.0,7880.0,53606.0,6920.0,49142.0,7151.0,44993.0,6042.0,44473.0,6215.0,45556.0,7249.0
83,05358,19033.0,2915.0,18134.0,2900.0,18642.0,3052.0,17739.0,2371.0,16868.0,2083.0,16109.0,1974.0,16348.0,2244.0,15691.0,2389.0
84,05362,37358.0,6096.0,36270.0,6583.0,35620.0,5779.0,35084.0,5788.0,31241.0,4791.0,32695.0,5411.0,30165.0,5021.0,29293.0,4811.0
85,05366,11382.0,2418.0,11161.0,2200.0,11441.0,2369.0,11552.0,2020.0,10830.0,1953.0,9620.0,1635.0,9334.0,1564.0,9501.0,1718.0
86,05370,17297.0,2745.0,17539.0,3110.0,17671.0,3220.0,17451.0,2719.0,16008.0,3128.0,14450.0,2480.0,13964.0,2849.0,14269.0,2768.0
87,05374,13177.0,2025.0,13470.0,1942.0,12768.0,1834.0,12995.0,1749.0,12553.0,1711.0,11833.0,1421.0,10745.0,1170.0,11032.0,1435.0
88,05378,14262.0,2412.0,15189.0,2572.0,14564.0,2179.0,13989.0,1954.0,13573.0,2535.0,12203.0,1707.0,11335.0,1816.0,12157.0,1864.0
89,05382,33932.0,6328.0,34970.0,6369.0,34046.0,5832.0,32844.0,5803.0,30136.0,6341.0,29422.0,6464.0,26368.0,4369.0,26277.0,4367.0
90,05512,8942.0,1242.0,9171.0,2075.0,8836.0,1552.0,8290.0,1306.0,8404.0,1545.0,6901.0,1007.0,6642.0,1111.0,6571.0,1182.0
91,05513,25331.0,2933.0,25950.0,3303.0,26428.0,3994.0,24434.0,3405.0,23387.0,4001.0,22234.0,3511.0,21937.0,3143.0,21494.0,3565.0
92,05515,28777.0,3123.0,30505.0,4159.0,29833.0,4129.0,29738.0,3536.0,29475.0,4612.0,25753.0,2506.0,26310.0,2903.0,26750.0,3043.0
93,05554,24610.0,2205.0,24619.0,2730.0,24423.0,2816.0,23641.0,2463.0,22203.0,2160.0,22234.0,2052.0,20696.0,1934.0,19570.0,2323.0
94,05558,13242.0,1625.0,12729.0,1955.0,13739.0,1988.0,13104.0,1839.0,11872.0,1773.0,10908.0,1466.0,10564.0,1448.0,10612.0,1569.0
95,05562,50955.0,5677.0,50783.0,7872.0,48407.0,6526.0,45866.0,5619.0,43944.0,5917.0,41841.0,4824.0,41327.0,5358.0,39928.0,5868.0
96,05566,27251.0,4727.0,26428.0,5003.0,26226.0,4574.0,26010.0,4142.0,25650.0,4516.0,24255.0,3628.0,22319.0,3600.0,22664.0,3902.0
97,05570,14122.0,2239.0,14596.0,2172.0,14577.0,2206.0,14966.0,1943.0,13248.0,1658.0,12152.0,1539.0,12462.0,1474.0,12684.0,1812.0
98,05711,26001.0,5439.0,27942.0,5814.0,28029.0,5238.0,28494.0,5506.0,26370.0,5098.0,23242.0,3869.0,22322.0,3759.0,23213.0,4828.0
99,05754,17641.0,2680.0,18253.0,3021.0,18588.0,3010.0,18480.0,2729.0,17255.0,2601.0,16512.0,2218.0,15998.0,2060.0,16302.0,2361.0
100,05758,13243.0,2816.0,13152.0,2578.0,12340.0,2258.0,12770.0,2162.0,12423.0,2438.0,11296.0,1929.0,10410.0,1838.0,10249.0,1792.0
101,05762,7051.0,1104.0,7052.0,1429.0,6882.0,1004.0,7040.0,869.0,6375.0,815.0,5899.0,695.0,5484.0,623.0,6398.0,735.0
102,05766,14689.0,2693.0,14294.0,2458.0,15026.0,2589.0,14344.0,2198.0,14511.0,2226.0,13361.0,1585.0,13158.0,1478.0,12922.0,1731.0
103,05770,15722.0,2566.0,17091.0,2753.0,15929.0,2379.0,16049.0,2208.0,15207.0,2052.0,13884.0,1712.0,13996.0,1807.0,14176.0,1932.0
104,05774,17753.0,3130.0,18703.0,3478.0,18143.0,3353.0,20502.0,3667.0,18322.0,3315.0,16267.0,2388.0,15387.0,1951.0,15806.0,1953.0
105,05911,38342.0,5739.0,36920.0,5841.0,38044.0,6172.0,35357.0,5649.0,32207.0,5209.0,32020.0,4951.0,29764.0,4526.0,27669.0,3828.0
106,05913,80540.0,16014.0,86549.0,16809.0,83586.0,15281.0,76259.0,13245.0,67291.0,12925.0,66327.0,11862.0,61727.0,10293.0,61769.0,11243.0
107,05914,16346.0,2457.0,16148.0,3038.0,17126.0,2812.0,16427.0,2423.0,15713.0,2735.0,14134.0,1570.0,13984.0,1616.0,14014.0,1947.0
108,05915,14766.0,2264.0,15152.0,2764.0,15204.0,2502.0,15441.0,2842.0,14866.0,2276.0,13355.0,1830.0,13591.0,1684.0,15553.0,1845.0
109,05916,15483.0,2183.0,14175.0,2024.0,15579.0,1991.0,14238.0,1839.0,13197.0,1799.0,13576.0,1858.0,13000.0,1665.0,12828.0,1692.0
110,05954,21553.0,3012.0,20690.0,3510.0,20841.0,2989.0,20676.0,2860.0,22863.0,5832.0,18647.0,2341.0,16543.0,2350.0,17386.0,2630.0
111,05958,14777.0,3162.0,13212.0,1878.0,12744.0,1673.0,12301.0,1544.0,12260.0,2041.0,12908.0,1838.0,12501.0,1784.0,12437.0,1902.0
112,05962,26386.0,2892.0,25825.0,3334.0,25516.0,3333.0,25338.0,3525.0,24218.0,3918.0,21477.0,2936.0,21087.0,2676.0,20161.0,3000.0
113,05966,6825.0,910.0,6861.0,1257.0,6457.0,994.0,6646.0,787.0,5987.0,760.0,6026.0,614.0,5392.0,704.0,5259.0,756.0
114,05970,16892.0,2512.0,16991.0,2909.0,17852.0,2865.0,16928.0,2397.0,15926.0,2127.0,16922.0,2086.0,14578.0,1910.0,13581.0,1909.0
115,05974,18710.0,2422.0,18738.0,2845.0,17508.0,2338.0,17950.0,2289.0,16898.0,2027.0,16172.0,1635.0,15986.0,1735.0,15573.0,2122.0
116,05978,29338.0,4610.0,28501.0,4758.0,28646.0,4714.0,28495.0,4753.0,25496.0,4064.0,23665.0,3100.0,22556.0,3046.0,21886.0,3295.0
117,06411,11218.0,2275.0,11008.0,1960.0,11827.0,2529.0,11681.0,2377.0,12121.0,2562.0,11200.0,2166.0,10445.0,1877.0,9600.0,1239.0
118,06412,112049.0,20020.0,118796.0,23323.0,118766.0,22197.0,114819.0,21612.0,109458.0,20290.0,117719.0,31757.0,114421.0,30104.0,102897.0,22054.0
119,06413,13343.0,2856.0,12709.0,2576.0,12849.0,2809.0,11607.0,2238.0,11987.0,3154.0,10530.0,2134.0,9927.0,2178.0,9481.0,1915.0
120,06414,23017.0,4206.0,23742.0,3848.0,24194.0,4810.0,23276.0,4401.0,23110.0,4690.0,20364.0,3338.0,20131.0,3472.0,19218.0,2809.0
121,06431,10787.0,1815.0,9873.0,1578.0,10484.0,1881.0,10456.0,2330.0,9679.0,1736.0,9332.0,1891.0,8721.0,1483.0,8442.0,1689.0
122,06432,9583.0,1677.0,9472.0,1879.0,9918.0,2060.0,9954.0,1898.0,9805.0,1849.0,9109.0,1761.0,9333.0,1591.0,8493.0,1327.0
123,06433,10546.0,2128.0,10476.0,2329.0,11308.0,2398.0,11648.0,2616.0,11704.0,2672.0,11000.0,2421.0,10778.0,2219.0,10843.0,2057.0
124,06434,10612.0,1466.0,11853.0,2123.0,11263.0,2291.0,10834.0,1944.0,10590.0,1784.0,9983.0,1550.0,9035.0,1230.0,8698.0,1208.0
125,06435,19883.0,3476.0,18639.0,3569.0,19252.0,4002.0,18951.0,4494.0,17635.0,3884.0,18514.0,3720.0,17321.0,3940.0,16465.0,3808.0
126,06436,10422.0,1494.0,11084.0,1586.0,11691.0,1823.0,11398.0,1790.0,10762.0,1650.0,10462.0,1524.0,10032.0,1363.0,9625.0,1635.0
127,06437,2674.0,366.0,2463.0,365.0,2502.0,384.0,2722.0,442.0,2749.0,353.0,2708.0,316.0,2579.0,349.0,2558.0,324.0
128,06438,16914.0,2901.0,16219.0,2493.0,17039.0,2983.0,16811.0,3688.0,15509.0,2790.0,16016.0,2712.0,14891.0,3016.0,14060.0,2729.0
129,06439,6230.0,636.0,6110.0,924.0,5980.0,726.0,5768.0,743.0,5903.0,755.0,5163.0,681.0,5472.0,890.0,5197.0,862.0
130,06440,12829.0,2139.0,12853.0,2420.0,12510.0,2439.0,12850.0,2201.0,11789.0,2073.0,11098.0,2266.0,10624.0,2263.0,10155.0,2147.0
131,06531,16613.0,1956.0,21166.0,1903.0,25010.0,3234.0,39957.0,3234.0,18087.0,2873.0,16260.0,2664.0,16362.0,3098.0,15801.0,2554.0
132,06532,9481.0,1464.0,9367.0,1604.0,9838.0,1939.0,9789.0,1669.0,9287.0,1673.0,8780.0,1492.0,8781.0,1557.0,8607.0,1429.0
133,06533,8645.0,1641.0,8436.0,1540.0,8599.0,1749.0,8167.0,1688.0,7917.0,1893.0,7226.0,1444.0,7552.0,1690.0,6822.0,1317.0
134,06534,10717.0,1523.0,10009.0,1330.0,10495.0,1471.0,10699.0,1384.0,10094.0,1491.0,9880.0,1438.0,10276.0,1439.0,10137.0,1511.0
135,06535,3763.0,510.0,3746.0,549.0,3801.0,595.0,4003.0,605.0,3483.0,500.0,3808.0,610.0,4123.0,741.0,3944.0,596.0
136,06611,19545.0,3344.0,21009.0,3547.0,20931.0,3350.0,19431.0,3308.0,18382.0,3067.0,18025.0,2734.0,18358.0,3171.0,16257.0,2312.0
137,06631,10813.0,2795.0,9567.0,2188.0,9140.0,1842.0,9672.0,2144.0,8845.0,1813.0,8890.0,1911.0,9119.0,2357.0,9608.0,3110.0
138,06632,6350.0,1171.0,5883.0,1167.0,5352.0,1127.0,5862.0,1026.0,5506.0,874.0,5353.0,953.0,4813.0,873.0,5119.0,878.0
139,06633,7588.0,1223.0,8200.0,1285.0,7276.0,1225.0,7445.0,1226.0,7138.0,1216.0,6913.0,1250.0,7280.0,1505.0,7099.0,1394.0
140,06634,7057.0,1247.0,7536.0,1460.0,6754.0,1304.0,6971.0,1217.0,6363.0,1309.0,6451.0,1410.0,6135.0,1298.0,6343.0,1333.0
141,06635,5509.0,855.0,6393.0,904.0,5392.0,810.0,5706.0,786.0,5936.0,1073.0,5441.0,767.0,5702.0,847.0,5217.0,764.0
