,kreis_key,kreis_name,income_pp_2000,income_pp_2001,income_pp_2002,income_pp_2003,income_pp_2004,income_pp_2005,income_pp_2006,income_pp_2007,income_pp_2008,income_pp_2009,income_pp_2010,income_pp_2011,income_pp_2012,income_pp_2013,income_pp_2014,income_pp_2015,income_pp_2016,income_pp_2017,income_pp_2018,income_2000,income_2001,income_2002,income_2003,income_2004,income_2005,income_2006,income_2007,income_2008,income_2009,income_2010,income_2011,income_2012,income_2013,income_2014,income_2015,income_2016,income_2017,income_2018,crimes_2013,crimes_2014,crimes_2015,crimes_2016,crimes_2017,crimes_2018,crimes_2019,crimes_pp_2013,crimes_pp_2014,crimes_pp_2015,crimes_pp_2016,crimes_pp_2017,crimes_pp_2018,crimes_pp_2019,fraud_pp_2013,fraud_pp_2014,fraud_pp_2015,fraud_pp_2016,fraud_pp_2017,fraud_pp_2018,fraud_pp_2019,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_density_2008,population_density_2009,population_density_2010,population_density_2011,population_density_2012,population_density_2013,population_density_2014,population_density_2015,population_density_2016,population_density_2017,population_density_2018,population_density_2019,border_vic,prop_abitur_2006,prop_abitur_2007,prop_abitur_2008,prop_abitur_2009,prop_abitur_2010,prop_abitur_2011,prop_abitur_2012,prop_abitur_2013,prop_abitur_2014,prop_abitur_2015,prop_abitur_2016,prop_abitur_2017,prop_abitur_2018,prop_abitur_2019,prop_no_haupt_2006,prop_no_haupt_2007,prop_no_haupt_2008,prop_no_haupt_2009,prop_no_haupt_2010,prop_no_haupt_2011,prop_no_haupt_2012,prop_no_haupt_2013,prop_no_haupt_2014,prop_no_haupt_2015,prop_no_haupt_2016,prop_no_haupt_2017,prop_no_haupt_2018,prop_no_haupt_2019,avg_hh
0,09361,Amberg,16120.0,16451.0,16433.0,16878.0,17318.0,17724.0,18326.0,18841.0,19117.0,18817.0,19195.0,19973.0,20392.0,20346.0,20611.0,21633.0,20658.0,21008.0,21981.0,688440.0,708141.0,711265.0,732356.0,751368.0,767809.0,790620.0,807552.0,814675.0,795648.0,807233.0,837094.0,850035.0,846101.0,856661.0,902038.0,869808.0,888598.0,925593.0,3009.0,3073.0,2961.0,2899.0,2867.0,2878.0,2564.0,0.0723578213298064,0.0739341738042536,0.0710106000287783,0.068851680323002,0.0677809825523665,0.0683464342539599,0.0609185297821283,0.0076950823614284,0.0089019343662785,0.008873327257902,0.0074812967581047,0.0069979668069412,0.0059607209860124,0.0055121290598493,44164.0,43902.0,43755.0,41912.0,41684.0,41585.0,41564.0,41698.0,42105.0,42298.0,42109.0,42089.0,878.9,871.9,872.7,833.6,829.4,829.7,828.4,834.9,844.8,842.8,837.2,842.0,86.20744241595905,21.6,27.3,27.4,31.6,32.5,47.7,33.0,33.5,33.7,32.9,30.6,28.9,28.7,30.3,8.2,4.3,7.3,7.0,4.0,5.2,5.0,6.8,3.7,4.8,5.8,6.2,5.7,5.6,2.0173545282193377
1,09561,Ansbach,17507.0,18162.0,17736.0,17849.0,18038.0,18022.0,17955.0,18110.0,18482.0,18139.0,18890.0,19606.0,20672.0,19867.0,20149.0,20692.0,21456.0,21853.0,22559.0,696878.0,724576.0,710260.0,716825.0,723623.0,721622.0,717463.0,720411.0,734991.0,721603.0,748954.0,775871.0,819497.0,789933.0,804451.0,839782.0,887129.0,908903.0,941827.0,2772.0,2993.0,3130.0,3294.0,3229.0,3116.0,3191.0,0.0697148030783159,0.0749655604257983,0.077122089441912,0.0796691336525903,0.0776351221388728,0.0746347305389221,0.0762977309136121,0.0087772244856898,0.0100438321853475,0.0090427497844031,0.0109321337009626,0.0089199846124254,0.0093413173652694,0.0094684742844846,40348.0,40406.0,40374.0,39574.0,39642.0,39762.0,39925.0,40585.0,41346.0,41592.0,41750.0,41823.0,404.9,404.6,402.9,396.3,397.1,398.7,400.5,412.0,415.7,416.9,418.8,418.4,199.5702943300976,29.6,32.0,31.8,32.9,40.2,56.2,40.4,39.6,39.8,44.4,41.9,40.1,40.0,38.0,4.5,4.8,5.2,4.8,4.2,1.9,2.8,2.9,1.1,3.3,2.9,6.0,4.2,3.4,2.045823070607553
2,09661,Aschaffenburg,17228.0,17972.0,17975.0,18703.0,19305.0,19802.0,20393.0,20802.0,21158.0,20492.0,20996.0,21735.0,21986.0,22312.0,22703.0,23179.0,23033.0,23377.0,24114.0,1147771.0,1208157.0,1216924.0,1267301.0,1307096.0,1339852.0,1378207.0,1404598.0,1428188.0,1382717.0,1414700.0,1464893.0,1485714.0,1511934.0,1543934.0,1589542.0,1591277.0,1626090.0,1693511.0,6053.0,5699.0,5972.0,5524.0,5248.0,5127.0,5359.0,0.0893260333810486,0.0838014292856512,0.0870845910436443,0.0799571554706384,0.0754478277121251,0.0730050692031668,0.0757295273086978,0.0147720732553163,0.0149692674175808,0.0142759234145559,0.0116375005427938,0.0109548865694815,0.0111066810958592,0.0106267222496997,68726.0,68699.0,68706.0,67398.0,67576.0,67763.0,68006.0,68577.0,69087.0,69558.0,70228.0,70765.0,1100.1,1100.1,1099.4,1079.9,1083.2,1086.0,1091.2,1104.3,1107.9,1119.7,1129.3,1136.9,167.81547353408138,25.7,27.2,32.4,35.1,35.4,48.3,35.6,38.6,39.3,34.9,44.5,35.6,38.5,33.7,6.1,6.3,5.9,4.2,4.3,3.7,3.7,3.8,4.4,5.5,8.3,3.8,5.7,5.0,2.0439772864564456
3,09761,Augsburg,15590.0,16010.0,15969.0,16279.0,16471.0,16432.0,16547.0,16754.0,17136.0,16925.0,17499.0,17955.0,18551.0,18705.0,18661.0,19187.0,19192.0,19415.0,20053.0,3995062.0,4128645.0,4154077.0,4248013.0,4309797.0,4330116.0,4379859.0,4439286.0,4549466.0,4501143.0,4667954.0,4818658.0,5028317.0,5136862.0,5203124.0,5444237.0,5526772.0,5654038.0,5895422.0,22297.0,23188.0,25659.0,22876.0,20899.0,21206.0,21404.0,0.0811918971964999,0.0831626779329118,0.0904304247153233,0.0794363477892485,0.0717641079878304,0.0721309691047065,0.0723452725791677,0.0148058597121123,0.0141413851599737,0.0153342989959223,0.0114938936519676,0.0107273588857831,0.0109832547033432,0.0121442984664992,262924.0,263195.0,263903.0,268376.0,271051.0,274621.0,278827.0,283743.0,287979.0,291218.0,293993.0,295859.0,1793.0,1795.5,1802.6,1833.8,1856.2,1883.3,1914.4,1950.0,1971.7,1993.9,2009.8,2019.5,99.62049233907588,27.1,29.8,30.4,30.7,33.5,48.8,32.7,32.7,32.6,33.1,32.2,31.8,31.6,32.6,7.6,7.3,6.4,6.5,4.9,3.6,4.4,4.6,3.9,4.5,4.9,6.8,5.8,6.1,1.9134056692754648
4,08211,Baden-Baden,25133.0,25229.0,23987.0,23945.0,23923.0,25003.0,26262.0,27180.0,27430.0,26185.0,26527.0,27512.0,28208.0,28201.0,28121.0,28976.0,30866.0,31944.0,32416.0,1297433.0,1305601.0,1249913.0,1255601.0,1260072.0,1322656.0,1394112.0,1443974.0,1453589.0,1380356.0,1391511.0,1441731.0,1481063.0,1489000.0,1495407.0,1557507.0,1674011.0,1741361.0,1780320.0,3972.0,4243.0,4630.0,4315.0,4270.0,4170.0,5813.0,0.0752286975132104,0.0797901348327284,0.0861379323175382,0.0795626359848065,0.0783299396474235,0.0759272409460862,0.1053958008485332,0.0165912233186234,0.0183726046975196,0.0225298133988204,0.0192683556440609,0.0212793278667473,0.0175706924491542,0.0488994451898321,54862.0,54675.0,54456.0,52404.0,52505.0,52799.0,53177.0,53751.0,54234.0,54513.0,54921.0,55154.0,390.8,388.7,388.3,373.9,375.0,378.1,380.4,386.3,387.4,390.3,393.2,393.6,26.43375810479836,36.5,36.9,41.6,42.6,45.9,44.4,62.2,45.6,42.6,46.6,44.8,50.5,48.6,50.7,9.0,7.3,5.2,7.9,4.4,3.8,3.3,4.9,4.1,4.5,7.7,4.8,6.2,7.3,1.965714722052535
5,09461,Bamberg,16990.0,17277.0,17051.0,17301.0,17488.0,17606.0,17960.0,18153.0,18593.0,18268.0,18810.0,19449.0,19765.0,20032.0,20446.0,21263.0,21523.0,21478.0,22047.0,1177694.0,1201480.0,1192169.0,1214432.0,1230691.0,1241062.0,1262433.0,1274704.0,1309942.0,1287083.0,1325880.0,1374057.0,1399100.0,1422573.0,1463149.0,1544623.0,1604228.0,1642193.0,1706165.0,5540.0,5744.0,6314.0,6791.0,7599.0,13246.0,7917.0,0.0780116876716186,0.0802683063163778,0.0869194130117562,0.0911091135945906,0.0993839996861144,0.1711679115085416,0.1021772517842623,0.0072660705484756,0.0081470095025153,0.010792654387269,0.0079289480392288,0.0077686663789382,0.0089809526270901,0.0079114128260392,69894.0,69773.0,69876.0,70651.0,70788.0,71015.0,71560.0,72642.0,74537.0,76461.0,77386.0,77483.0,1281.4,1278.4,1281.7,1294.6,1297.4,1302.9,1317.3,1342.6,1386.7,1413.0,1420.6,1416.6,166.7447382018164,44.5,47.1,46.6,47.5,52.9,70.3,54.8,55.4,56.1,57.9,53.4,56.1,55.5,51.5,6.0,5.4,5.2,4.4,3.8,2.7,3.9,3.1,3.7,4.7,4.5,4.8,4.8,3.6,1.8928443282587524
6,09462,Bayreuth,15820.0,16366.0,16617.0,17307.0,17914.0,18163.0,18583.0,18882.0,19285.0,19126.0,19740.0,20285.0,19798.0,19884.0,19876.0,20241.0,20262.0,20454.0,21069.0,1157024.0,1200012.0,1220200.0,1272008.0,1314992.0,1324310.0,1343733.0,1355254.0,1377024.0,1359100.0,1398582.0,1440997.0,1412553.0,1422224.0,1422837.0,1454801.0,1471167.0,1504014.0,1566049.0,5018.0,5198.0,5563.0,7864.0,5501.0,5226.0,4923.0,0.0701553259608259,0.0726109489153058,0.0773982608695652,0.1083091162009172,0.0748109666539737,0.0703099773974814,0.0658859743040685,0.0061934654046723,0.0100157849888946,0.0147478260869565,0.0130565923395815,0.0090028830985149,0.0071171025723818,0.0076686295503211,72811.0,72456.0,72376.0,71038.0,71348.0,71527.0,71587.0,71875.0,72607.0,73532.0,74328.0,74720.0,1089.1,1084.7,1086.3,1064.5,1068.5,1069.8,1069.8,1078.1,1092.3,1106.3,1116.1,1118.0,91.29312191443708,30.9,35.2,33.4,33.5,39.8,55.4,41.1,42.8,43.2,44.4,42.4,43.0,45.0,46.8,7.1,7.6,7.3,6.0,5.5,4.1,4.3,3.9,4.7,6.1,6.4,5.3,6.6,7.4,1.880968622100955
7,11000,Berlin,15154.0,15505.0,15404.0,15349.0,15873.0,16003.0,16486.0,16629.0,17051.0,17339.0,17512.0,17909.0,18043.0,18239.0,18407.0,19036.0,19484.0,20249.0,20972.0,49990767.0,51014207.0,50618809.0,50300948.0,51837633.0,52176347.0,53741678.0,54230750.0,55685357.0,56688731.0,57337097.0,59136984.0,60456115.0,61985727.0,63427666.0,66528944.0,69116667.0,72779892.0,76112218.0,503164.0,543157.0,569550.0,568860.0,520436.0,511677.0,513426.0,0.1480535973536762,0.1576269233704766,0.1629641710587306,0.1603582987237806,0.1448003332069246,0.1409904382858738,0.1403893021878458,0.023455462750616,0.0325052911642128,0.0318843814199957,0.0270457691777514,0.0271473497445719,0.0250644708239728,0.0254246533989908,3424638.0,3434580.0,3446972.0,3302174.0,3350612.0,3398526.0,3445839.0,3494940.0,3547431.0,3594163.0,3629161.0,3657159.0,3849.2,3861.5,3880.9,3729.7,3785.2,3837.5,3891.3,3947.6,4011.6,4055.0,4090.2,4117.8,103.1758169933282,36.5,37.5,39.8,41.4,41.2,41.8,50.2,41.7,42.5,42.2,46.6,47.6,46.3,44.4,9.5,9.7,9.5,8.9,9.1,8.8,6.9,7.2,8.4,10.0,8.4,9.6,9.9,8.9,1.8354526289516728
8,05711,Bielefeld,16439.0,17081.0,17111.0,17584.0,17862.0,17741.0,17832.0,17660.0,18377.0,18058.0,18788.0,19339.0,19161.0,19800.0,20948.0,20687.0,21702.0,22175.0,23037.0,5315535.0,5545491.0,5584630.0,5786702.0,5910232.0,5859894.0,5873563.0,5802240.0,6020684.0,5903063.0,6141968.0,6326818.0,6280270.0,6505913.0,6898615.0,6856428.0,7232551.0,7384259.0,7675232.0,26001.0,27942.0,28029.0,28494.0,26370.0,23242.0,22322.0,0.0791292465663792,0.084846791751563,0.0845683631228955,0.0854979881237791,0.0791887135812998,0.0697603918731934,0.0668341362491803,0.0165525930569799,0.0176544000874521,0.0158039561182249,0.0165210894437259,0.0153092173620578,0.0116127250734612,0.0112547942908641,324115.0,323006.0,323049.0,327151.0,327757.0,328589.0,329323.0,331436.0,333271.0,333002.0,333169.0,333991.0,1254.8,1252.7,1253.4,1268.6,1268.5,1270.6,1274.2,1287.0,1288.4,1284.9,1289.6,1291.2,179.58254624396562,31.2,32.8,33.3,35.0,35.0,36.1,39.2,47.5,39.3,38.8,41.4,39.6,38.4,39.1,6.1,5.9,5.4,5.8,4.4,3.9,4.3,4.3,5.4,6.1,4.8,6.8,7.1,6.7,2.0358320440307405
9,05911,Bochum,15100.0,15784.0,15791.0,16092.0,16332.0,16412.0,16575.0,16692.0,17168.0,16880.0,17292.0,17784.0,17962.0,17997.0,18366.0,18784.0,18936.0,19415.0,20048.0,5831821.0,6065332.0,6040836.0,6124322.0,6200971.0,6209041.0,6224862.0,6225497.0,6349392.0,6189422.0,6297132.0,6452817.0,6509484.0,6514363.0,6645050.0,6824397.0,6908263.0,7090845.0,7319098.0,38342.0,36920.0,38044.0,35357.0,32207.0,32020.0,29764.0,0.1059247349257129,0.1020439186854797,0.104715269921747,0.0969133653664299,0.0881839961667465,0.0877070442287833,0.0815210841723544,0.0158547298977274,0.0161440554995094,0.0169882937114137,0.0154838815780457,0.0142624409610514,0.013561448344057,0.012396332044217,379907.0,377205.0,375302.0,362835.0,362399.0,361974.0,361805.0,363309.0,364831.0,365225.0,365079.0,365108.0,2603.1,2587.1,2572.7,2489.3,2486.7,2483.4,2484.4,2504.1,2505.3,2509.5,2503.3,2509.9,89.0850495760613,30.7,29.8,30.9,32.3,35.3,36.0,38.1,46.2,39.4,41.3,39.5,40.8,42.2,39.4,7.2,7.2,7.1,6.9,4.2,5.8,6.0,4.0,6.1,6.0,5.8,7.2,7.0,7.8,1.9198652078492815
