,kreis_key,population_1995,population_1996,population_1997,population_1998,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019
0,01001,87608,86952,86089,85145,84604,84414,84419,84586,85035,85510,85956,86365,87036,88182,88451,88535,82504,83132,83717,84333,85318,86687,87976,89012,89834
1,01002,246310,244880,242122,238927,235579,232972,232294,232866,233118,232928,233631,234470,235823,236880,237516,238440,236552,238767,240700,242341,244727,246874,247692,247746,247171
2,01003,216920,216329,215525,214697,213817,213365,213400,213331,212923,212255,211966,211288,211209,211355,210034,210063,210502,211196,212336,213689,215337,216483,216515,216758,216864
3,01004,82012,81912,81559,81063,80619,80103,79712,79607,79300,78770,78312,78101,77813,77256,76936,76943,77238,77076,77005,77323,78393,79439,79508,79411,79842
4,01051,133196,134177,135350,136160,136752,137070,137297,137401,137388,137429,137378,137091,136637,136089,135403,135094,133838,133226,132815,132675,132801,133239,133504,133329,133202
5,01053,169112,171095,173130,174909,176333,178645,180515,182688,184248,185555,186078,186721,186897,187089,186698,186580,187118,187601,188474,189873,191851,194031,195569,196669,197642
6,01054,158333,159886,161405,162583,163621,164147,164715,165537,166123,166574,166937,166889,166892,166596,166101,165774,163278,162633,162080,162063,163082,164443,165194,165485,165729
7,01055,196870,197826,198753,199699,200735,201851,202700,204082,204800,205486,206006,206023,206041,205550,205056,204505,198303,197921,197859,198095,198965,200194,200699,200583,200560
8,01056,281738,283696,285635,287263,288544,290233,292501,294590,296087,297698,298560,299656,300765,301416,301726,302700,296590,298067,300025,302655,305779,309062,311658,313527,315247
9,01057,124977,126278,128182,130018,131377,132427,133177,133909,134665,135179,135567,135579,135492,135219,134613,134490,127620,126967,126682,126754,127585,128504,128773,128745,128667
10,01058,256745,259381,262180,264688,266766,269089,270891,272152,272714,273091,272967,272827,272616,272065,271012,270302,269205,268452,268067,268352,269503,271358,272680,272899,273437
11,01059,187215,189393,191777,193732,195532,196955,198062,198783,199393,199932,199766,199353,199189,198854,198513,198202,196015,195316,195023,195364,196216,197762,199094,199764,200591
12,01060,235511,238394,240979,243518,246092,248665,251260,253316,254802,255863,256397,257313,257884,258313,257927,258522,260815,261565,262595,264087,266238,269869,273130,275029,276604
13,01061,132549,133579,134486,135080,135370,135895,136295,136748,136843,136972,136714,136228,135310,134451,133747,133092,130850,130339,130076,130118,130838,131666,131744,131480,131180
14,01062,207836,210092,212214,213791,214926,216460,218680,220510,221367,222729,223880,224689,225663,226557,227739,228924,230776,232144,233793,235690,238160,240713,242142,242834,243676
