,license_plate,kreis_key,kreis_name,einw
0,AM,09361,Amberg,42052
1,AN,09561,Ansbach,41681
2,AB,09661,Aschaffenburg,70858
3,A,09761,Augsburg,295830
4,BAD,08211,Baden-Baden,55449
5,BA,09461,Bamberg,76674
6,BT,09462,Bayreuth,74048
7,B,11000,Berlin,"3664088
"
8,BI,05711,Bielefeld,333509
9,BO,05911,Bochum,364454
10,WAT,05911,Bochum,364454
11,BN,05314,Bonn,330579
12,BOT,05512,Bottrop,117388
13,BRB,12051,Brandenburg an der Havel,72040
14,BS,03101,Braunschweig,248561
15,HB,04011,Bremen,566573
16,HB,04012,Bremerhaven,113557
17,C,14511,Chemnitz,244401
18,CO,09463,Coburg,40842
19,NEC,09463,Coburg,40842
20,CB,12052,Cottbus,98693
21,DA,06411,Darmstadt,159174
22,DEL,03401,Delmenhorst,77503
23,DE,15001,Dessau-Roßlau,79354
24,RSL,15001,Dessau-Roßlau,79354
25,DO,05913,Dortmund,587696
26,DD,14612,Dresden,556227
27,DU,05112,Duisburg,495885
28,D,05111,Düsseldorf,620523
29,EMD,03402,Emden,49874
30,EF,16051,Erfurt,213692
31,ER,09562,Erlangen,112385
32,E,05113,Essen,582415
33,FL,01001,Flensburg,89934
34,FT,07311,Frankenthal,48750
35,FF,12053,Frankfurt,57015
36,F,06412,Frankfurt am Main,764104
37,FR,08311,Freiburg im Breisgau,230940
38,FÜ,09563,Fürth,128223
39,GE,05513,Gelsenkirchen,259105
40,G,16052,Gera,92126
41,HA,05914,Hagen,188687
42,HAL,15002,Halle,237865
43,HH,02000,Hamburg,1841179
44,HAM,05915,Hamm,178967
45,HD,08221,Heidelberg,158741
46,HN,08121,Heilbronn,126458
47,HER,05916,Herne,156940
48,WAN,05916,Herne,156940
49,HO,09464,Hof,45173
50,IN,09161,Ingolstadt,136952
51,J,16053,Jena,110731
52,KL,07312,Kaiserslautern,99662
53,KA,08212,Karlsruhe,308436
54,KS,06611,Kassel,201048
55,KF,09762,Kaufbeuren,44662
56,KE,09763,Kempten,68940
57,KI,01002,Kiel,246601
58,KO,07111,Koblenz,113388
59,K,05315,Köln,1083498
60,KR,05114,Krefeld,226844
61,LD,07313,Landau in der Pfalz,46685
62,LA,09261,Landshut,73065
63,L,14713,Leipzig,597493
64,LEV,05316,Leverkusen,163905
65,OP,05316,Leverkusen,163905
66,HL,01003,Lübeck,215846
67,LU,07314,Ludwigshafen am Rhein,172557
68,MD,15003,Magdeburg,235775
69,MZ,07315,Mainz,217123
70,MA,08222,Mannheim,309721
71,MM,09764,Memmingen,44360
72,MG,05116,Mönchengladbach,259665
73,MH,05117,Mülheim an der Ruhr,170921
74,M,09162,München,1488202
75,MS,05515,Münster,316403
76,NMS,01004,Neumünster,79905
77,NW,07316,Neustadt an der Weinstraße,53306
78,N,09564,Nürnberg,515543
79,OB,05119,Oberhausen,209566
80,OF,06413,Offenbach am Main,130892
81,OL,03403,Oldenburg,169605
82,OS,03404,Osnabrück,164223
83,PA,09262,Passau,52415
84,PF,08231,Pforzheim,126016
85,PS,07317,Pirmasens,40176
86,P,12054,Potsdam,182112
87,R,09362,Regensburg,152270
88,RS,05120,Remscheid,111516
89,RO,09163,Rosenheim,63591
90,HRO,13003,Rostock,209061
91,SZ,03102,Salzgitter,103866
92,SC,09565,Schwabach,41056
93,SW,09662,Schweinfurt,53319
94,SN,13004,Schwerin,95609
95,SG,05122,Solingen,159193
96,SP,07318,Speyer,50741
97,SR,09263,Straubing,47612
98,S,08111,Stuttgart,630305
99,SHL,16054,Suhl,36395
100,TR,07211,Trier,110674
101,UL,08421,Ulm,126405
102,WEN,09363,Weiden in der Oberpfalz,42535
103,WE,16055,Weimar,65098
104,WI,06414,Wiesbaden,278609
105,WHV,03405,Wilhelmshaven,75189
106,WOB,03103,Wolfsburg,123840
107,WO,07319,Worms,83459
108,W,05124,Wuppertal,355004
109,WÜ,09663,Würzburg,126954
110,ZW,07320,Zweibrücken,34001
0,AC,05334,Aachen,556631
1,MON,05334,Aachen,556631
2,AW,07131,Ahrweiler,130479
3,AIC,09771,Aichach-Friedberg,135024
4,FDB,09771,Aichach-Friedberg,135024
